System	Alignment	Angle	Distance	Energy	Uqq	Uqd	Udd	Dipole Moment
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	2.0	[[-1.87121282]]	-1.83790695395	[[-0.06661174]]	[[ 0.03330587]]	[[-0.0619257   0.05930997  0.36905585]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	2.5	[[-1.49408303]]	-1.48316978073	[[-0.0218265]]	[[ 0.01091325]]	[[-0.04023991  0.0341529   0.25316671]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	3.0	[[-1.18697236]]	-1.18258239327	[[-0.00877993]]	[[ 0.00438996]]	[[-0.02451452  0.01788904  0.16886186]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	3.5	[[-0.94737517]]	-0.945564057886	[[-0.00362222]]	[[ 0.00181111]]	[[-0.01452473  0.00913675  0.11246097]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	4.0	[[-0.76458276]]	-0.763799763487	[[-0.00156599]]	[[ 0.000783]]	[[-0.00857081  0.00469021  0.07587362]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	4.5	[[-0.625475]]	-0.625117469131	[[-0.00071506]]	[[ 0.00035753]]	[[-0.00512343  0.00244878  0.05220207]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	5.0	[[-0.51882894]]	-0.518656489246	[[-0.0003449]]	[[ 0.00017245]]	[[-0.00313317  0.00130355  0.03671231]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	5.5	[[-0.43608725]]	-0.435999685884	[[-0.00017513]]	[[  8.75671002e-05]]	[[-0.00196862  0.00070532  0.02639208]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	6.0	[[-0.37101045]]	-0.370963848382	[[ -9.31938526e-05]]	[[  4.65969263e-05]]	[[-0.00127209  0.00038519  0.01937266]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	6.5	[[-0.31911509]]	-0.319089228419	[[ -5.17204984e-05]]	[[  2.58602492e-05]]	[[-0.00084469  0.00020995  0.01449675]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	7.0	[[-0.27717921]]	-0.277164313171	[[ -2.98022261e-05]]	[[  1.49011131e-05]]	[[-0.00057543  0.00011219  0.01104025]]
4TCONSTRAINED:PCBM_EDITEDO_anion_mul	2th_ring	0.0	7.5	[[-0.24286991]]	-0.242861027146	[[ -1.77581348e-05]]	[[  8.87906738e-06]]	[[ -4.01398405e-04   5.68940122e-05   8.54276358e-03]]
