

System	Alignment	Angle	Distance	Uqq
12Tcation:PC71BM_anion_B3LYP_6_31gSTAR_opt_mul	1T	0.0	3.5	-0.767823875763
System	Alignment	Angle	Distance	Uqq
12Tcation:PCBM_EDITEDO_anion_mul	1T	0.0	3.5	-0.787113619432
System	Alignment	Angle	Distance	Uqq
33TIcation:PC71BM_anion_B3LYP_6_31gSTAR_opt_mul	1I	0.0	3.5	-0.731036163179
System	Alignment	Angle	Distance	Uqq
33TIcation:PCBM_EDITEDO_anion_mul	1I	0.0	3.5	-0.76766532959
System	Alignment	Angle	Distance	Uqq
35TIcation:PC71BM_anion_B3LYP_6_31gSTAR_opt_mul	1I	0.0	3.5	-0.587317708531
System	Alignment	Angle	Distance	Uqq
35TIcation:PCBM_EDITEDO_anion_mul	1I	0.0	3.5	-0.618654999619
System	Alignment	Angle	Distance	Uqq
3CDTBTcation:PC71BM_anion_B3LYP_6_31gSTAR_opt_mul	1T2	0.0	3.5	-0.86513524202
System	Alignment	Angle	Distance	Uqq
3CDTBTcation:PCBM_EDITEDO_anion_mul	1T2	0.0	3.5	-0.921450161473
System	Alignment	Angle	Distance	Uqq
4CPDTBTcation:PC71BM_anion_B3LYP_6_31gSTAR_opt_mul	2CPDT	0.0	3.5	-0.974840455886
System	Alignment	Angle	Distance	Uqq
4CPDTBTcation:PCBM_EDITEDO_anion_mul	2CPDT	0.0	3.5	-1.00831178457
System	Alignment	Angle	Distance	Uqq
3DPPTT:PC71BM_anion_B3LYP_6_31gSTAR_opt_mul	1T	0.0	3.5	-0.813637666697
System	Alignment	Angle	Distance	Uqq
3DPPTT:PC71BM_anion_B3LYP_6_31gSTAR_opt_mul	1Tz	0.0	3.5	-0.795227766259
System	Alignment	Angle	Distance	Uqq
3DPPTT:PCBM_EDITEDO_anion_mul	1T	0.0	3.5	-0.840306176591
System	Alignment	Angle	Distance	Uqq
3DPPTT:PCBM_EDITEDO_anion_mul	1Tz	0.0	3.5	-0.830963339089
System	Alignment	Angle	Distance	Uqq
4FTBTcation:PC71BM_anion_B3LYP_6_31gSTAR_opt_mul	2T1	0.0	3.5	-0.72670334827
System	Alignment	Angle	Distance	Uqq
4FTBTcation:PCBM_EDITEDO_anion_mul	2T1	0.0	3.5	-0.740490909582
