[[-0.0010197  -0.00019146  0.00163764]]
[[ 7.24742903 -0.51753332  8.82582832]]
[[ 9.33732124  2.50728143  8.32069113]]
[[ 6.877448    3.99312365 -7.72121612]]
[[ 19.20110562   1.40075739   1.18394489]]
[[ 0.00218579  0.00012731  0.00230018]]
[[ 0.00195435  0.00043299 -0.00190713]]
[[ 5.11180108 -0.32039194 -3.49272817]]
[[ 5.18425904  0.90838989 -2.9345836 ]]
[[ 6.59946407 -6.0930243  -9.11557599]]
[[ 6.59946407 -6.0930243   9.11557599]]
[[  1.55775094e+01  -2.04109760e+00   8.43106833e-13]]
[[ 0.00200326 -0.00053604 -0.00203896]]
[[ 0.00200326 -0.00053604  0.00203896]]
[[ 5.18425904  0.90838989  2.9345836 ]]
[[ 5.11180108 -0.32039194  3.49272817]]
[[ 6.877448    3.99312365  7.72121612]]
[[ 9.33732124  2.50728143 -8.32069113]]
[[ 19.20110562   1.40075739  -1.18394489]]
[[ 0.00195435  0.00043299  0.00190713]]
[[ 0.00218579  0.00012731 -0.00230018]]
[[ 7.24742903 -0.51753332 -8.82582832]]
[[-0.0010197  -0.00019146 -0.00163764]]
[[ 0.33685024 -0.1116998   1.19909161]]
[[ 0.3475545  -0.01703348 -0.16518735]]
[[-0.24217728  0.01141342  0.25476584]]
[[-0.12925131 -0.06514113  0.16642051]]
[[ 1.90900154 -0.12970544 -1.29752592]]
[[ 1.8792983  -0.32828362  1.2257587 ]]
[[-0.00382347 -0.01313746  0.22688951]]
[[-0.35368011  0.06735487 -0.36903962]]
[[ 0.25994376  0.05313648 -1.314567  ]]
[[ 0.10030753  0.01620383  0.18603629]]
[[-0.31873629 -0.06864743 -0.34074256]]
[[-0.10571369  0.10054031 -0.        ]]
[[ 2.08095035  0.45833861  1.40045559]]
[[ 2.08095035  0.45833861 -1.40045559]]
[[ 0.10030753  0.01620383 -0.18603629]]
[[-0.31873629 -0.06864743  0.34074256]]
[[ 0.25994376  0.05313648  1.314567  ]]
[[-0.00382347 -0.01313746 -0.22688951]]
[[-0.35368011  0.06735487  0.36903962]]
[[-0.12925131 -0.06514113 -0.16642051]]
[[ 1.8792983  -0.32828362 -1.2257587 ]]
[[ 1.90900154 -0.12970544  1.29752592]]
[[ 0.3475545  -0.01703348  0.16518735]]
[[-0.24217728  0.01141342 -0.25476584]]
[[ 0.33685024 -0.1116998  -1.19909161]]
