[[-0.00070935 -0.00022705 -0.00116249]]
[[ 6.92159384 -1.42598056 -7.01654515]]
[[ 7.40827531  2.25590558 -7.91544459]]
[[ 6.85293038  5.5722158   6.80372429]]
[[ 18.05358738   1.78670961  -0.47797352]]
[[  1.92406504e-03   7.12294835e-05  -2.00882872e-03]]
[[ 0.00189877  0.00063624  0.00175894]]
[[ 4.82236194  0.26529712  4.09319095]]
[[ 5.40968428  0.69628878  2.46216752]]
[[  8.46129382  -4.47360586  11.28188005]]
[[  9.31552448  -6.42831344 -10.45037551]]
[[ 16.62995615  -1.56888262  -0.25656798]]
[[ 0.00236653 -0.0002469   0.00257354]]
[[ 0.00246364 -0.00065738 -0.00258893]]
[[ 5.3746218  -0.03454609 -3.23866068]]
[[ 4.82610594 -0.08046323 -3.61712054]]
[[ 8.94478266  2.96419763 -9.22203201]]
[[ 8.85755547  3.57197262  8.96187815]]
[[ 16.20828183   1.15500122  -0.14172448]]
[[ 0.00226222  0.00019995 -0.00234284]]
[[ 0.0022562   0.00037091  0.00230885]]
[[ 4.80931149  0.11144692  3.48054746]]
[[ 5.10838544  0.15065916  3.17282108]]
[[  9.11584569  -4.24849669  10.12092051]]
[[  9.11584569  -4.24849669 -10.12092051]]
[[  1.63731105e+01  -1.22599345e+00  -2.50023390e-12]]
[[ 0.00237246 -0.00035479  0.00250144]]
[[ 0.00237246 -0.00035479 -0.00250144]]
[[ 5.10838544  0.15065916 -3.17282108]]
[[ 4.80931149  0.11144692 -3.48054746]]
[[ 8.85755547  3.57197262 -8.96187815]]
[[ 8.94478266  2.96419763  9.22203201]]
[[ 16.20828183   1.15500122   0.14172448]]
[[ 0.0022562   0.00037091 -0.00230885]]
[[ 0.00226222  0.00019995  0.00234284]]
[[ 4.82610594 -0.08046323  3.61712054]]
[[ 5.3746218  -0.03454609  3.23866068]]
[[  9.31552448  -6.42831344  10.45037551]]
[[  8.46129382  -4.47360586 -11.28188005]]
[[ 16.62995615  -1.56888262   0.25656798]]
[[ 0.00246364 -0.00065738  0.00258893]]
[[ 0.00236653 -0.0002469  -0.00257354]]
[[ 5.40968428  0.69628878 -2.46216752]]
[[ 4.82236194  0.26529712 -4.09319095]]
[[ 6.85293038  5.5722158  -6.80372429]]
[[ 7.40827531  2.25590558  7.91544459]]
[[ 18.05358738   1.78670961   0.47797352]]
[[ 0.00189877  0.00063624 -0.00175894]]
[[  1.92406504e-03   7.12294835e-05   2.00882872e-03]]
[[ 6.92159384 -1.42598056  7.01654515]]
[[-0.00070935 -0.00022705  0.00116249]]
[[ 0.22993564 -0.15017968 -0.82344488]]
[[-0.06399718  0.07139938  0.29107193]]
[[-0.27756081  0.0030861  -0.29281836]]
[[-0.11244919 -0.05752331  0.05338592]]
[[ 1.72520158 -0.10213784  1.1893272 ]]
[[ 1.78602922 -0.47751669 -1.14035908]]
[[ 0.15929422 -0.04465422 -0.14841725]]
[[-0.32969449  0.10348008  0.34038143]]
[[ 0.35757822  0.17451686  1.66500714]]
[[ 0.40202645  0.0493454  -0.08724943]]
[[-0.31524588 -0.02029914  0.33519737]]
[[-0.14903545  0.08688338 -0.05702418]]
[[ 2.49704742  0.25338346 -1.6845977 ]]
[[ 2.55102896  0.52120509  1.65560666]]
[[ 0.58766025  0.08244193  0.00796967]]
[[-0.2951752  -0.06843411 -0.30840084]]
[[ 0.47832638 -0.11413682 -2.12221991]]
[[ 0.54104049 -0.04892659  0.01442014]]
[[-0.26404643  0.01589918 -0.27875374]]
[[-0.14926965 -0.05549749 -0.01860124]]
[[ 2.17370517 -0.17454555  1.44122045]]
[[ 2.17708226 -0.27951165 -1.42272762]]
[[ 0.49334289 -0.0456927  -0.02976278]]
[[-0.26679035  0.0369946   0.27939133]]
[[ 0.46035585  0.04406349  2.05459092]]
[[ 0.54589232  0.06078753 -0.02025637]]
[[-0.2814085  -0.03379483  0.2966011 ]]
[[ -1.53675850e-01   7.12043736e-02   1.13480357e-14]]
[[ 2.38385326  0.29672376 -1.57344323]]
[[ 2.38385326  0.29672376  1.57344323]]
[[ 0.54589232  0.06078753  0.02025637]]
[[-0.2814085  -0.03379483 -0.2966011 ]]
[[ 0.46035585  0.04406349 -2.05459092]]
[[ 0.49334289 -0.0456927   0.02976278]]
[[-0.26679035  0.0369946  -0.27939133]]
[[-0.14926965 -0.05549749  0.01860124]]
[[ 2.17708226 -0.27951165  1.42272762]]
[[ 2.17370517 -0.17454555 -1.44122045]]
[[ 0.54104049 -0.04892659 -0.01442014]]
[[-0.26404643  0.01589918  0.27875374]]
[[ 0.47832638 -0.11413682  2.12221991]]
[[ 0.58766025  0.08244193 -0.00796967]]
[[-0.2951752  -0.06843411  0.30840084]]
[[-0.14903545  0.08688338  0.05702418]]
[[ 2.55102896  0.52120509 -1.65560666]]
[[ 2.49704742  0.25338346  1.6845977 ]]
[[ 0.40202645  0.0493454   0.08724943]]
[[-0.31524588 -0.02029914 -0.33519737]]
[[ 0.35757822  0.17451686 -1.66500714]]
[[ 0.15929422 -0.04465422  0.14841725]]
[[-0.32969449  0.10348008 -0.34038143]]
[[-0.11244919 -0.05752331 -0.05338592]]
[[ 1.78602922 -0.47751669  1.14035908]]
[[ 1.72520158 -0.10213784 -1.1893272 ]]
[[-0.06399718  0.07139938 -0.29107193]]
[[-0.27756081  0.0030861   0.29281836]]
[[ 0.22993564 -0.15017968  0.82344488]]
