[[-0.00863036  0.00484617 -0.03065507]]
[[ 0.00654648  0.01178611 -0.02527466]]
[[-0.00451185 -0.00274566 -0.02009184]]
[[-0.01092198  0.00489827 -0.05081773]]
[[ 0.02185976  0.03228897 -0.05890735]]
[[ 0.04904251  0.06666371 -0.01525712]]
[[ 0.02359114  0.03223304 -0.01242689]]
[[ 0.04395436  0.05525271  0.01724228]]
[[ 0.01382066  0.03083793 -0.00581664]]
[[ 0.01067192  0.01776719 -0.02108433]]
[[ 0.00876238  0.01928042 -0.01928944]]
[[-0.0059905  -0.00283937 -0.01187067]]
[[ 0.0005482   0.00218035 -0.00083051]]
[[ 0.00061117  0.00259514 -0.00319172]]
[[-0.00749097  0.00469161 -0.01771443]]
[[ 0.03427019  0.03167791  0.00871947]]
[[ 0.02783791  0.02536802  0.01934626]]
[[  2.14360575e-03   5.06782067e-03   9.45858273e-05]]
[[ 0.01667906  0.02710428  0.01620571]]
[[ 0.00959215  0.01755281 -0.00577676]]
[[ 0.01234045  0.03015756  0.00555542]]
[[ 0.03153967  0.03698494  0.02684001]]
[[ 0.00308678  0.0065529   0.00178004]]
[[ 0.00647593  0.01419453  0.00633874]]
[[ 0.01187738  0.01838896  0.02648922]]
[[ 0.02348032  0.01874764  0.01455261]]
[[ 0.00876418  0.02195186  0.01293503]]
[[ 0.00319794  0.00649453  0.00272979]]
[[ 0.01949457  0.0186584   0.02754962]]
[[ 0.00373712  0.01136026  0.01251147]]
[[ 0.01143503  0.01505888  0.02648942]]
[[ 0.01365543  0.0093076   0.01219186]]
[[ 0.00706621  0.01647437  0.01716502]]
[[ 0.00281055  0.00573236  0.0031528 ]]
[[ 0.00483879  0.00052019  0.00560403]]
[[-0.00036023  0.00174474  0.00868304]]
[[ 0.02917789  0.00787875  0.0356448 ]]
[[ 0.01969052  0.02637679  0.03559944]]
[[ 0.03939297  0.01314427  0.02858354]]
[[ 0.03077247  0.03143901  0.02192075]]
[[ 0.04520107  0.01572079  0.01047812]]
[[ 0.03546608  0.03248409  0.00315146]]
[[ 0.03945951 -0.00619097  0.00197975]]
[[ 0.03008136 -0.01055302  0.01010824]]
[[ 0.03278367 -0.00903515  0.02030784]]
[[ 0.02317389 -0.01707054  0.02473546]]
[[ 0.02415802 -0.00959734  0.02793344]]
[[ 0.00037922  0.00651815  0.01347009]]
[[-0.00138003  0.01179623  0.00482325]]
[[-0.00047844  0.01210272  0.00343501]]
[[ 0.00081944  0.01171033  0.00186871]]
[[ 0.00725111 -0.00850695  0.00048006]]
[[ 0.00662377 -0.00964089  0.00193013]]
[[ 0.00363028 -0.00763146  0.01133555]]
[[ 0.05108879  0.01853831 -0.00764422]]
[[ 0.03008102 -0.00829458 -0.01007385]]
[[ 0.03935843 -0.00475168 -0.01345741]]
[[ 0.03525531  0.03246731 -0.01744476]]
[[ 0.007525   -0.00783229 -0.00126168]]
[[ 0.02792986 -0.00654384 -0.0238226 ]]
[[ 0.04466845  0.01732769 -0.0263839 ]]
[[  1.24770442e-03   1.08571447e-02   3.95367971e-05]]
[[ 0.02908123 -0.00148455 -0.02196201]]
[[ 0.00656924 -0.0070922  -0.00234231]]
[[ 0.0197469   0.02789118 -0.02855827]]
[[ 0.02453068 -0.00336359 -0.0245988 ]]
[[ 0.02219055  0.0118145  -0.02436339]]
[[ 0.00028622  0.00977928 -0.00118241]]
[[ 0.02247469  0.0065927  -0.01890839]]
[[ 0.00595435 -0.00581341 -0.00241593]]
[[ 0.00272057  0.00920385 -0.00963838]]
[[ 0.0078745  -0.00151177 -0.00977367]]
