[[ 0.02867696  0.06230883 -0.06844427]]
[[ 0.00769233  0.01936843 -0.00933304]]
[[ 0.00985829  0.02515972  0.00381772]]
[[ 0.01768918  0.04416347 -0.11388216]]
[[ 0.05094593  0.06639408 -0.14548616]]
[[ 0.11893618  0.19102655 -0.00206997]]
[[ 0.0006823  -0.00493847  0.00186962]]
[[ 0.06122181  0.10641601  0.10912299]]
[[ 0.00507377  0.02289079 -0.00530233]]
[[ 0.0106577   0.02304169  0.00073578]]
[[ 0.00867061  0.03190739  0.01337292]]
[[-0.00866689 -0.01047739 -0.02426944]]
[[ 0.0029882   0.00792219  0.0024186 ]]
[[ 0.00370657  0.00729741 -0.00888477]]
[[ 0.00732041  0.01593293 -0.00099358]]
[[ 0.07442102  0.07999441  0.04646553]]
[[ 0.05434317  0.05305282  0.03895833]]
[[ 0.00403121  0.01052043  0.00332236]]
[[-0.00409848  0.02055901  0.11339537]]
[[ 0.01590972  0.02548668 -0.0133808 ]]
[[ 0.02088623  0.05679175  0.00320286]]
[[-0.01000921 -0.00568028  0.05332395]]
[[ 0.00366872  0.0099831   0.00630732]]
[[ 0.00501352  0.01443846  0.01013962]]
[[ 0.00411723  0.02146885  0.04303796]]
[[ 0.01672715  0.0021311   0.00383866]]
[[ 0.00571814  0.02425117  0.00360824]]
[[ 0.00398054  0.00900859  0.0040547 ]]
[[ 0.00147578  0.00104975  0.01540043]]
[[ 0.00839447  0.02070984 -0.00220888]]
[[ 0.03889167  0.05318274  0.00606748]]
[[ 0.01407241  0.00195068 -0.00334724]]
[[ 0.02103072  0.04435688  0.02598888]]
[[ 0.00444149  0.00912591  0.00522286]]
[[ 0.02166934  0.01332138 -0.00719172]]
[[-0.002008   -0.0003013   0.01413278]]
[[ 0.04235036 -0.01006828  0.0628309 ]]
[[ 0.02635375  0.0316859   0.0692841 ]]
[[ 0.0650354   0.01493136  0.047507  ]]
[[ 0.0597462  0.0352865  0.018979 ]]
[[ 0.07485633  0.03075371 -0.01372083]]
[[ 0.06587455  0.04012101 -0.04843417]]
[[ 0.06853507 -0.01312123 -0.02371803]]
[[ 0.04237488 -0.00249999  0.00206508]]
[[ 0.05484886 -0.03033456  0.03523348]]
[[ 0.02768552 -0.03569683  0.05690518]]
[[ 0.0262157  -0.03395047  0.060527  ]]
[[-0.00559408  0.0103439   0.02214184]]
[[-0.00237397  0.01680518  0.00228671]]
[[-0.00056188  0.01262464  0.00339569]]
[[ 0.00091064  0.00939664  0.00629934]]
[[  8.05748628e-03  -1.28774464e-02  -7.65432559e-05]]
[[ 0.00986453 -0.02006204 -0.00232568]]
[[-0.00064176 -0.02322833  0.02646655]]
[[ 0.08123526  0.04479434 -0.07243911]]
[[  4.84285228e-02  -4.68967486e-05  -5.70350142e-02]]
[[ 0.0585096   0.00648109 -0.05580959]]
[[ 0.05768106  0.05455488 -0.10476786]]
[[ 0.008069   -0.01399431  0.00174176]]
[[ 0.04017303 -0.0153785  -0.07365711]]
[[ 0.07313093  0.01533441 -0.10360692]]
[[-0.00223916  0.01050339  0.00908898]]
[[ 0.03016855 -0.00696369 -0.05430317]]
[[ 0.00653037 -0.01699105  0.000335  ]]
[[ 0.02408057  0.05901887 -0.09001186]]
[[ 0.02887589 -0.02403103 -0.05457086]]
[[ 0.03745064 -0.00934392 -0.06407456]]
[[-0.00567059  0.01437393  0.00670105]]
[[ 0.02453846 -0.0064524  -0.02908083]]
[[ 0.00577695 -0.01703427 -0.00102709]]
[[-0.00032406  0.01877758 -0.01611512]]
[[ 0.00984589 -0.00513665 -0.01790799]]
