[[-0.00241894  0.0007573  -0.00198234]]
[[-0.0014005   0.00020331 -0.00087421]]
[[-0.00190765 -0.00023708 -0.00067361]]
[[-0.00138172  0.00363062 -0.0026193 ]]
[[ 0.00018391  0.00431757 -0.00267231]]
[[ 0.00432771  0.00983533  0.00245439]]
[[ 0.0005553   0.00375489  0.00258021]]
[[ 0.00158214  0.00511403  0.00494587]]
[[-0.00092558  0.00221314  0.00068926]]
[[-0.00106685  0.0009936  -0.00031034]]
[[-0.00111379  0.00173501 -0.00060055]]
[[ -3.38344580e-03  -8.44109256e-05  -1.16383592e-03]]
[[-0.0013281  -0.00025228 -0.00043565]]
[[ -1.69386933e-03  -4.62817976e-04  -7.59038493e-05]]
[[ 0.00049727  0.00729068 -0.00660618]]
[[ 0.0135663   0.01348864  0.00414204]]
[[ 0.00548513  0.00379361  0.01087588]]
[[-0.00115222  0.00032144 -0.00026316]]
[[-0.00146965  0.0013393   0.00297452]]
[[-0.00135966  0.00058181  0.00034983]]
[[-0.00167934  0.00092543  0.00036504]]
[[ -1.84443537e-03   3.10045092e-05   7.26078367e-04]]
[[-0.00124461  0.00018981 -0.00017864]]
[[ -1.55228732e-03   9.74590372e-05  -4.28138339e-04]]
[[-0.00140261  0.00073337 -0.00110503]]
[[-0.00047585 -0.00209175  0.00183181]]
[[-0.00151764  0.00035133 -0.00112554]]
[[-0.00134516 -0.00014935 -0.00063319]]
[[-0.0001119   0.00045771 -0.00329349]]
[[-0.00075228  0.00056708 -0.00149723]]
[[ 0.0020051   0.00263709 -0.00340339]]
[[ 0.00097543 -0.0012965  -0.00490576]]
[[ 0.00014296  0.00137857 -0.00131938]]
[[-0.00088764  0.00010528 -0.0009588 ]]
[[ 0.00589611  0.00361155 -0.00128402]]
[[  9.04855728e-06   8.70026935e-04  -1.02050433e-03]]
[[ 0.00412459  0.00055295  0.0063207 ]]
[[ 0.00387909  0.0040722   0.00592317]]
[[ 0.00747837  0.00271317  0.00497376]]
[[ 0.00562377  0.00589449  0.0037463 ]]
[[ 0.00854138  0.00318547  0.00214972]]
[[ 0.00637399  0.00572992  0.00095365]]
[[ 0.00777349 -0.00192696  0.00058522]]
[[ 0.00612544 -0.00358354  0.00130756]]
[[ 0.00695164 -0.00235029  0.00349467]]
[[ 0.00415674 -0.00421295  0.0040121 ]]
[[ 0.0032896  -0.0034244   0.00513455]]
[[ 0.00131916  0.00130809  0.00556054]]
[[ 0.00127891  0.00474793  0.00394488]]
[[ 0.00218523  0.00634395  0.00272544]]
[[ 0.00285042  0.00630001  0.00083086]]
[[ 0.0039554  -0.00395828  0.00052871]]
[[ 0.00218594 -0.00429533  0.00219363]]
[[ 0.00065805 -0.00409851  0.00396545]]
[[ 0.00848544  0.00282413 -0.00126338]]
[[ 0.00593252 -0.00287708 -0.00162428]]
[[ 0.00694712 -0.00182595 -0.00278893]]
[[ 0.00533689  0.00399906 -0.0023714 ]]
[[ 0.00374605 -0.00310163 -0.00159127]]
[[ 0.00311337 -0.00246484 -0.004187  ]]
[[ 0.00511176  0.00064239 -0.00365993]]
[[ 0.00264994  0.00456413 -0.00133157]]
[[ 0.00237546 -0.00216415 -0.00370438]]
[[ 0.00138968 -0.00216823 -0.00303935]]
[[ 0.00208329  0.00134578 -0.00277573]]
[[ 0.00050439 -0.00187112 -0.00224274]]
[[  1.60879865e-03   8.56165553e-05  -2.10517398e-03]]
[[ 0.00126756  0.00181017 -0.0018574 ]]
[[ 0.00099712 -0.0009227  -0.00130965]]
[[-0.00036633 -0.00152198 -0.00151303]]
[[ 0.00091944  0.00078773 -0.00157486]]
[[ 0.00075475 -0.00062293 -0.00108194]]
