time	name	mols_cen	mols_sur	mols_outer	insize	outsize	a	b	c	molincell	Reorg(eV)
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	1	1	0	0.0
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	0	0	0	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	0	0	1	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	0	0	2	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	0	1	0	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	0	1	1	0	0.0808964731617
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	0	1	2	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	0	2	0	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	0	2	1	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	0	2	2	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	0	0	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	0	1	0	0.0937992439502
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	0	2	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	1	0	0	0.121964272105
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	1	1	0	0.0
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	1	2	0	0.121950151224
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	2	0	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	2	1	0	0.0937166354005
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	1	2	2	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	2	0	0	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	2	0	1	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	2	0	2	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	2	1	0	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	2	1	1	0	0.080894198951
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	2	1	2	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	2	2	0	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	2	2	1	0	[]
Tue, 12 May 2015 22:13:10 +0000	TIPS_Pc_cation_neut_inner1_outer0	['TIPS_Pc_mola_cation_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_neut_aniso_cifstruct_chelpg.xyz']	['TIPS_Pc_mola_aniso_cifstruct_chelpg.xyz']	1	0	2	2	2	0	[]
