[[ -1.12518382e-04   2.10517466e-21   2.10025111e-21]]
[[ -1.60635526e-04  -4.07605068e-05   4.17923474e-21]]
[[ -1.60635526e-04   4.18408637e-21  -4.07605068e-05]]
[[ -1.76706171e-04   4.17560828e-21   4.17726264e-21]]
[[ -1.60635526e-04   8.05467147e-22   4.07605068e-05]]
[[ -1.60635526e-04   4.07605068e-05   7.90784976e-22]]
[[ -1.78234101e-04  -1.20182993e-04  -7.97195318e-23]]
[[ -2.29812325e-04  -7.88553117e-05  -7.88553117e-05]]
[[ -2.67956679e-04  -9.29986800e-05   6.69685516e-21]]
[[ -2.29812325e-04  -7.88553117e-05   7.88553117e-05]]
[[ -1.78234101e-04  -6.47230466e-23  -1.20182993e-04]]
[[ -2.67956679e-04   6.72332500e-21  -9.29986800e-05]]
[[ -3.21037697e-04   3.36828002e-21   3.32857534e-21]]
[[ -2.67956679e-04   3.35504506e-21   9.29986800e-05]]
[[ -1.78234101e-04   5.41023149e-20   1.20182993e-04]]
[[ -2.29812325e-04   7.88553117e-05  -7.88553117e-05]]
[[ -2.67956679e-04   9.29986800e-05   3.33476906e-21]]
[[ -2.29812325e-04   7.88553117e-05   7.88553117e-05]]
[[ -1.78234101e-04   1.20182993e-04   5.00545103e-21]]
[[ -1.20182993e-04  -1.78234101e-04  -8.45816413e-23]]
[[-0.00020382 -0.00020382 -0.00010359]]
[[ -2.44349102e-04  -2.44349102e-04   4.99243070e-21]]
[[-0.00020382 -0.00020382  0.00010359]]
[[-0.00020382 -0.00010359 -0.00020382]]
[[-0.00036625 -0.00019508 -0.00019508]]
[[ -4.94655565e-04  -2.79266141e-04   6.70976393e-21]]
[[-0.00036625 -0.00019508  0.00019508]]
[[-0.00020382 -0.00010359  0.00020382]]
[[ -1.20182993e-04  -6.19134396e-23  -1.78234101e-04]]
[[ -2.44349102e-04   1.17757449e-20  -2.44349102e-04]]
[[ -4.94655565e-04   6.69019231e-21  -2.79266141e-04]]
[[ -8.30073056e-04   0.00000000e+00   1.25104628e-22]]
[[ -4.94655565e-04   1.01546042e-20   2.79266141e-04]]
[[ -2.44349102e-04   1.04542410e-19   2.44349102e-04]]
[[ -1.20182993e-04   5.46127930e-20   1.78234101e-04]]
[[-0.00020382  0.00010359 -0.00020382]]
[[-0.00036625  0.00019508 -0.00019508]]
[[ -4.94655565e-04   2.79266141e-04   1.00882319e-20]]
[[-0.00036625  0.00019508  0.00019508]]
[[-0.00020382  0.00010359  0.00020382]]
[[-0.00020382  0.00020382 -0.00010359]]
[[ -2.44349102e-04   2.44349102e-04   5.00009432e-21]]
[[-0.00020382  0.00020382  0.00010359]]
[[ -1.20182993e-04   1.78234101e-04   4.99756697e-21]]
[[ -4.07605068e-05  -1.60635526e-04   3.32278453e-21]]
