[[-0.4037021   0.23104456  0.08200366]]
[[-0.40049178  0.6941185  -0.11836023]]
[[ -4.19160947e-09  -4.72635761e-08   4.13591231e-08]]
[[ 1.39896214  1.90370743 -0.91378612]]
[[ 0.04936246  0.12841342 -0.39529251]]
[[ 0.07513593  0.16581586 -0.22355186]]
[[ 0.00621807  1.84354987 -0.49232831]]
[[ 0.08437717  0.71887314 -0.24033942]]
[[-0.07385597  0.00994345  0.54249901]]
[[-0.15421164 -0.06284217  0.46440392]]
[[ 0.00155451  0.46088743 -0.12308204]]
[[-0.00587761  0.3032829  -0.09161128]]
[[ 0.40650606  0.6002815  -0.30401298]]
[[ 0.1587826   0.22581764 -0.10670355]]
