[[-0.17783292 -0.25911885  0.13206923]]
[[-0.36084744 -0.52508323  0.24614   ]]
[[-0.05539272 -0.28942865  0.09662643]]
[[ 0.12020527 -0.5138318   0.12920171]]
[[ 0.02228797 -0.088931   -0.52921876]]
[[ 0.19435517  0.12449435 -0.47324691]]
[[-0.21359711 -0.71231494  0.26526061]]
[[ 0.48082109 -2.05532739  0.51680699]]
[[-0.05063945 -0.10697498  0.25304905]]
[[-0.09349206 -0.23294546  0.35122654]]
[[-1.5497291  -2.20058713  1.1356312 ]]
[[ -1.46925901e-09   6.24035680e-08  -4.18340853e-08]]
[[ 0.19723457 -0.55894435  0.07852481]]
[[ 0.5776678  -0.40174128 -0.01309232]]
