b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	0.445821919868	2.53655936603	[]	[]
1	1	[]	-0.0704141625061	-0.0169212290079	[]	[]
1	2	[]	1.03190008529	-0.128141902659	[]	[]
1	3	[]	0.823557351332	0.786252255798	[]	[]
2	0	[]	0.918453218153	0.0	[]	[]
2	1	[]	0.00971730357081	-0.668944111952	[]	[]
2	2	[]	-0.395132422777	-0.539473175429	[]	[]
2	3	[]	0.861063791557	0.588289139361	[]	[]
3	0	[]	0.500913891625	[]	[]	[]
3	1	[]	0.933629737794	[]	[]	[]
3	2	[]	-0.306140340626	[]	[]	[]
3	3	[]	0.0294693222799	[]	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
