a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.630878132367	[]	[]
1	1	[]	[]	0.565551622223	[]	[]
1	2	[]	[]	0.623158002266	[]	[]
1	3	[]	[]	0.634766814441	[]	[]
2	0	[]	0.630847854915	0.630640443108	0.630694919325	[]
2	1	[]	0.567924767435	0.567366759198	0.564992610383	[]
2	2	[]	0.623929460301	0.622566244636	0.621728907505	[]
2	3	[]	0.635492425819	0.636077041236	0.635528591317	[]
3	0	[]	[]	0.630879669727	[]	[]
3	1	[]	[]	0.565425592772	[]	[]
3	2	[]	[]	0.623082162832	[]	[]
3	3	[]	[]	0.634777174701	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
