b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.630857759674	[]	[]
1	1	[]	[]	0.562860777765	[]	[]
1	2	[]	[]	0.621493141117	[]	[]
1	3	[]	[]	0.633754316505	[]	[]
2	0	[]	0.630852193711	0.630685929371	0.630856209509	[]
2	1	[]	0.565504775515	0.558974803717	0.565379264381	[]
2	2	[]	0.623107945038	0.617430180695	0.62303742024	[]
2	3	[]	0.634713016583	0.634889012284	0.634729660673	[]
3	0	[]	[]	0.630694919325	[]	[]
3	1	[]	[]	0.564992610383	[]	[]
3	2	[]	[]	0.621728907505	[]	[]
3	3	[]	[]	0.635528591317	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
