b\a	mol	0	1	2	3	4
0	0	[]	[]	2.7220052336	[]	[]
0	1	[]	[]	0.768586902524	[]	[]
0	2	[]	[]	1.15850883137	[]	[]
0	3	[]	[]	-0.395567731548	[]	[]
1	0	[]	0.445821919868	2.53655936603	0.429641487749	[]
1	1	[]	-0.0704141625061	-0.0169212290079	-0.0775249754658	[]
1	2	[]	1.03190008529	-0.128141902659	1.08592026548	[]
1	3	[]	0.823557351332	0.786252255798	0.847010966471	[]
2	0	1.61274220402	0.918453218153	0.0	0.90792197338	1.60764873887
2	1	1.04795786216	0.00971730357081	-0.668944111952	0.00992025811223	1.04755125633
2	2	1.14364759489	-0.395132422777	-0.539473175429	-0.327980100895	1.15084409381
2	3	1.5575985858	0.861063791557	0.588289139361	0.856263747639	1.55686846205
3	0	[]	0.500913891625	0.860250871408	0.492108170833	[]
3	1	[]	0.933629737794	-0.0815867457194	0.944914799816	[]
3	2	[]	-0.306140340626	0.0490639912711	-0.268434137397	[]
3	3	[]	0.0294693222799	1.78529584299	0.0406734722157	[]
4	0	[]	[]	-0.0201290891322	[]	[]
4	1	[]	[]	0.467964872696	[]	[]
4	2	[]	[]	0.176896036388	[]	[]
4	3	[]	[]	1.21235883657	[]	[]
