b\a	mol	0	1	2	3	4
0	0	[]	[]	0.630867658148	[]	[]
0	1	[]	[]	0.564899633294	[]	[]
0	2	[]	[]	0.62306243767	[]	[]
0	3	[]	[]	0.63426185308	[]	[]
1	0	[]	0.630880167816	0.63064229678	0.630882308945	[]
1	1	[]	0.565531438428	0.562931054229	0.565406329196	[]
1	2	[]	0.623154636188	0.622492060383	0.623078288397	[]
1	3	[]	0.634740166601	0.632638539243	0.634756907611	[]
2	0	0.630895636886	0.630811682807	0.0	0.630812448207	0.630896337594
2	1	0.565510926463	0.565472999278	0.620105819685	0.565340559915	0.565478216365
2	2	0.623141366489	0.623090605259	0.601021503814	0.623012158536	0.623121303506
2	3	0.634774790514	0.634682047337	0.632100430912	0.634697393967	0.634778157554
3	0	[]	0.630878132367	0.630640443108	0.630879669727	[]
3	1	[]	0.565551622223	0.567366759198	0.565425592772	[]
3	2	[]	0.623158002266	0.622566244636	0.623082162832	[]
3	3	[]	0.634766814441	0.636077041236	0.634777174701	[]
4	0	[]	[]	0.630864692786	[]	[]
4	1	[]	[]	0.566009750492	[]	[]
4	2	[]	[]	0.623051865939	[]	[]
4	3	[]	[]	0.635188913227	[]	[]
