b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.411171034171	[]	[]
1	1	[]	[]	2.75852493505	[]	[]
1	2	[]	[]	0.903436945045	[]	[]
1	3	[]	[]	0.486595304035	[]	[]
2	0	[]	-0.99684885257	-0.0419366219919	-1.00234469884	[]
2	1	[]	0.993896599161	2.75106389165	1.01583542343	[]
2	2	[]	0.943755844387	1.47265767797	1.03297412252	[]
2	3	[]	-1.38408754395	-0.2649846411	-1.32824080281	[]
3	0	[]	[]	1.72002028588	[]	[]
3	1	[]	[]	0.230204955433	[]	[]
3	2	[]	[]	0.446128663042	[]	[]
3	3	[]	[]	-0.410987418368	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
