b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.411163371191	[]	[]
1	1	[]	[]	2.75848746625	[]	[]
1	2	[]	[]	0.903440193616	[]	[]
1	3	[]	[]	0.486594780985	[]	[]
2	0	[]	-0.996847871022	-0.0419392990868	-1.00234366572	[]
2	1	[]	0.993901298949	2.75102447909	1.01584017555	[]
2	2	[]	0.943760680287	1.47265578003	1.03297850025	[]
2	3	[]	-1.38409149324	-0.264980745162	-1.32824409984	[]
3	0	[]	[]	1.71999961416	[]	[]
3	1	[]	[]	0.230210787763	[]	[]
3	2	[]	[]	0.446130405197	[]	[]
3	3	[]	[]	-0.410983681689	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
