a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.50091015969	[]	[]
1	1	[]	[]	0.933625065825	[]	[]
1	2	[]	[]	-0.306140525226	[]	[]
1	3	[]	[]	0.0294683971596	[]	[]
2	0	[]	1.72002028588	0.860262549714	0.180957906025	[]
2	1	[]	0.230204955433	-0.0815909307486	-0.444195423758	[]
2	2	[]	0.446128663042	0.0490594276391	0.38957935739	[]
2	3	[]	-0.410987418368	1.78530280656	0.727950611156	[]
3	0	[]	[]	0.492104456944	[]	[]
3	1	[]	[]	0.944910037161	[]	[]
3	2	[]	[]	-0.268434948435	[]	[]
3	3	[]	[]	0.0406727835746	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
