c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.48311737853	[]	[]
1	1	[]	[]	2.7862038286	[]	[]
1	2	[]	[]	2.82564932237	[]	[]
1	3	[]	[]	2.41508724074	[]	[]
2	0	[]	2.92355001203	2.36473023236	2.78884846825	[]
2	1	[]	2.70634095188	2.2870859561	2.87611698068	[]
2	2	[]	2.87480270287	2.31057107916	2.75754722957	[]
2	3	[]	2.6974019262	2.26131132654	2.90737778935	[]
3	0	[]	[]	2.82696702822	[]	[]
3	1	[]	[]	2.36996541786	[]	[]
3	2	[]	[]	2.3851459543	[]	[]
3	3	[]	[]	2.77470250309	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
