b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.37192447721	[]	[]
1	1	[]	[]	2.55146183005	[]	[]
1	2	[]	[]	2.70933302811	[]	[]
1	3	[]	[]	2.19263773473	[]	[]
2	0	[]	2.48311737853	1.81257226804	2.46936946526	[]
2	1	[]	2.7862038286	2.47130193721	2.7660191708	[]
2	2	[]	2.82564932237	2.23162166663	2.83287586602	[]
2	3	[]	2.41508724074	2.09513783779	2.43413651581	[]
3	0	[]	[]	2.30444559566	[]	[]
3	1	[]	[]	2.86752282586	[]	[]
3	2	[]	[]	2.59982085038	[]	[]
3	3	[]	[]	2.34410727226	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
