a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.78884846825	[]	[]
1	1	[]	[]	2.87611698068	[]	[]
1	2	[]	[]	2.75754722957	[]	[]
1	3	[]	[]	2.90737778935	[]	[]
2	0	[]	2.30444559566	1.68579963892	2.61578921384	[]
2	1	[]	2.86752282586	2.1780151031	2.24810899578	[]
2	2	[]	2.59982085038	2.17898620225	2.30047248804	[]
2	3	[]	2.34410727226	2.24519546217	2.79512504024	[]
3	0	[]	[]	2.79057714581	[]	[]
3	1	[]	[]	2.86469532085	[]	[]
3	2	[]	[]	2.78995579826	[]	[]
3	3	[]	[]	2.94542999341	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
