a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	2.74794494923	[]	[]	[]	[]
0	1	[]	[]	[]	[]	2.43230525873	[]	[]	[]	[]
1	0	[]	[]	[]	2.444711582	2.29297203566	2.46096549785	[]	[]	[]
1	1	[]	[]	[]	1.96804439898	1.72856188669	1.97295239293	[]	[]	[]
2	0	[]	[]	3.60723376375	1.87635376675	0.925837378337	1.89425635919	3.60695735125	[]	[]
2	1	[]	[]	2.30359745301	1.80313668283	0.634071838463	1.80365769806	2.30500708684	[]	[]
3	0	[]	1.6703107348	1.9899847904	1.78638330828	0.713995780513	1.81280087558	1.99100630283	1.67084916884	[]
3	1	[]	1.89379966349	1.83962993584	1.55788678558	-0.62402658832	1.564053337	1.84032352967	1.89393681081	[]
4	0	1.87602284648	1.816753826	1.88063956348	1.63982134281	0.0	1.63949554758	1.88149724993	1.81673067416	1.87616587476
4	1	1.8900082156	1.85368149492	1.84764791905	1.56730778541	0.515976764471	1.57229416898	1.84820917517	1.85356275164	1.89017367784
5	0	[]	1.85622251725	1.82257506148	1.70324370999	-0.464395326618	1.70435543811	1.82281159744	1.85594286852	[]
5	1	[]	1.67657808441	2.33935603811	1.68555639268	0.891022205065	1.6685587559	2.34076979555	1.67645446317	[]
6	0	[]	[]	2.2333051571	1.73309916814	0.645391208807	1.73454984463	2.23232808326	[]	[]
6	1	[]	[]	3.02244892549	1.88127279439	0.728553927739	1.87692351503	3.02151407931	[]	[]
7	0	[]	[]	[]	1.80545194133	1.58342872891	1.80647991371	[]	[]	[]
7	1	[]	[]	[]	2.4397064974	2.13786386119	2.42943791002	[]	[]	[]
8	0	[]	[]	[]	[]	1.93817152316	[]	[]	[]	[]
8	1	[]	[]	[]	[]	2.68137972075	[]	[]	[]	[]
