a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	0.636501805249	[]	[]	[]	[]
0	1	[]	[]	[]	[]	0.597463405317	[]	[]	[]	[]
1	0	[]	[]	[]	0.565362721924	0.575045243677	0.559541590347	[]	[]	[]
1	1	[]	[]	[]	0.553197420086	0.518554104772	0.551448885766	[]	[]	[]
2	0	[]	[]	0.601513323821	0.530429772736	0.473787341486	0.526682194951	0.600168347712	[]	[]
2	1	[]	[]	0.584191485624	0.521877300758	0.399727529893	0.5204414541	0.583899130659	[]	[]
3	0	[]	0.656541579046	0.57530698721	0.499251700654	0.232641907409	0.497446513323	0.574703190488	0.656242119907	[]
3	1	[]	0.622107307825	0.564121029128	0.510770354092	0.276895502921	0.509785520065	0.563973600071	0.621963321835	[]
4	0	0.767511263021	0.625827671519	0.552935015166	0.491674377254	0.0	0.49166666685	0.552937719117	0.625768578095	0.767475126716
4	1	0.767113049479	0.631225118863	0.5630370169	0.511881942658	0.334423450529	0.511629447343	0.563004802725	0.631115904544	0.766967447643
5	0	[]	0.60942084148	0.549873741496	0.493173711556	0.230134241505	0.494982903576	0.550353709469	0.609576444611	[]
5	1	[]	0.672912803038	0.591091800708	0.524017535311	0.458026135655	0.524524123422	0.591179473984	0.672742447927	[]
6	0	[]	[]	0.557298639485	0.500691518172	0.466525234699	0.504021841813	0.558247165341	[]	[]
6	1	[]	[]	0.639070561913	0.565011324296	0.523969842785	0.566157697408	0.639046169154	[]	[]
7	0	[]	[]	[]	0.518432159386	0.540970022089	0.52301270412	[]	[]	[]
7	1	[]	[]	[]	0.623762950111	0.589331027122	0.624627562353	[]	[]	[]
8	0	[]	[]	[]	[]	0.583207357376	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.652228480371	[]	[]	[]	[]
