a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	0.647951647666	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	0.633877160259	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	0.579239878868	0.605752090265	0.57259594	[]	[]	[]	[]
1	1	[]	[]	[]	[]	0.579570820217	0.581724832355	0.577061461842	[]	[]	[]	[]
2	0	[]	[]	[]	0.599586360342	0.547529888264	0.547950431076	0.542606468857	0.597830222049	[]	[]	[]
2	1	[]	[]	[]	0.5965625331	0.546144910484	0.521025348877	0.543898298963	0.596024175856	[]	[]	[]
3	0	[]	[]	0.632820914271	0.575969651483	0.516121038341	0.469644073055	0.512791569999	0.574903099063	0.632361296479	[]	[]
3	1	[]	[]	0.616644470672	0.574312695549	0.528939140816	0.406682518105	0.527004088551	0.573940205057	0.616473504091	[]	[]
4	0	[]	0.685806166965	0.607965798199	0.555028760189	0.503808286983	0.231360904454	0.502012033502	0.554542318923	0.60774796607	0.685734765948	[]
4	1	[]	0.651536727763	0.597180769226	0.56757641281	0.52085059914	0.285917894988	0.519558501699	0.567371732698	0.59704870176	0.6513806956	[]
5	0	0.79632197583	0.655295743384	0.586272705148	0.552091632924	0.498330840383	0.0	0.498353776371	0.552097058377	0.586248130116	0.655254928421	0.796317822489
5	1	0.795911092178	0.660601053871	0.595886429176	0.566519001485	0.522370431692	0.344109808572	0.52200505492	0.566503859717	0.595784675633	0.660436417315	0.795759122547
6	0	[]	0.638891007052	0.583023520788	0.550667071508	0.500349037222	0.230958670193	0.502209199531	0.551167992853	0.583158474325	0.638884245536	[]
6	1	[]	0.702062378556	0.622978838808	0.571378226515	0.53184396738	0.467104644058	0.53244871805	0.57153412106	0.622897722421	0.701875421188	[]
7	0	[]	[]	0.589490641229	0.549706146724	0.507479906574	0.467806845764	0.51092461296	0.550663167822	0.589779334416	[]	[]
7	1	[]	[]	0.669595005028	0.603129898147	0.547676340729	0.52990084642	0.549035493483	0.603430405223	0.669463969937	[]	[]
8	0	[]	[]	[]	0.557331958027	0.516140763796	0.541929602335	0.52082302539	0.558711272002	[]	[]	[]
8	1	[]	[]	[]	0.653973731705	0.58972866898	0.567783742322	0.591613768504	0.654166562294	[]	[]	[]
9	0	[]	[]	[]	[]	0.532640559493	0.573912286158	0.538313887804	[]	[]	[]	[]
9	1	[]	[]	[]	[]	0.648605024134	0.620301940987	0.650073315818	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	0.598832012271	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	0.678084608377	[]	[]	[]	[]	[]
