c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	-2.30730567317	[]	[]	[]
1	1	[]	[]	[]	0.567676547454	[]	[]	[]
1	2	[]	[]	[]	0.777239835394	[]	[]	[]
1	3	[]	[]	[]	-0.795806085941	[]	[]	[]
2	0	[]	[]	-0.759202161817	-0.564213104022	-1.08433473308	[]	[]
2	1	[]	[]	-1.90935176917	-1.47122785035	0.763677636699	[]	[]
2	2	[]	[]	0.198157465258	-1.45858346771	-0.554994192406	[]	[]
2	3	[]	[]	-0.918086172756	-0.387419740733	-0.301543216567	[]	[]
3	0	[]	0.323854657019	0.932869183106	0.572530011211	-0.247725461977	-0.195898066835	[]
3	1	[]	0.327031829987	0.287210355443	-0.302584112476	-0.207691946301	0.690941269357	[]
3	2	[]	-0.0053845974873	-0.243375978121	-0.288917710017	-0.104288799014	-0.16979924529	[]
3	3	[]	-1.194192759	-3.22257013434	-1.47123182415	-3.12342906187	-1.33092776099	[]
4	0	[]	[]	0.422289151896	0.424458849097	0.238327345779	[]	[]
4	1	[]	[]	-0.133863196694	-0.465051059062	-0.333253997664	[]	[]
4	2	[]	[]	-0.830922983533	-1.10494434219	-0.663899213291	[]	[]
4	3	[]	[]	0.783692384103	0.769905957584	0.267300278574	[]	[]
5	0	[]	[]	[]	0.426949438614	[]	[]	[]
5	1	[]	[]	[]	0.0418972281369	[]	[]	[]
5	2	[]	[]	[]	0.262403211022	[]	[]	[]
5	3	[]	[]	[]	0.494075350439	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
