b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	2.90533796667	[]	[]	[]
1	1	[]	[]	[]	0.857557745563	[]	[]	[]
1	2	[]	[]	[]	-0.860380525805	[]	[]	[]
1	3	[]	[]	[]	-0.255751871461	[]	[]	[]
2	0	[]	[]	0.422289151896	1.17871795718	0.413838307268	[]	[]
2	1	[]	[]	-0.133863196694	-1.41318429879	-0.182692995959	[]	[]
2	2	[]	[]	-0.830922983533	-0.791385577969	-0.57655157659	[]	[]
2	3	[]	[]	0.783692384103	-0.207838902382	0.737008271602	[]	[]
3	0	[]	0.789379997361	0.424458849097	-0.148235970146	0.446599089661	0.775558408291	[]
3	1	[]	0.323507233274	-0.465051059062	-1.74700725225	-0.539086566041	0.3098090028	[]
3	2	[]	0.78824484236	-1.10494434219	-0.67591016019	-0.8650892782	0.807851149815	[]
3	3	[]	0.723771381661	0.769905957584	0.477514322607	0.797520958973	0.734085116312	[]
4	0	[]	[]	0.238327345779	-0.84925350573	0.23427536151	[]	[]
4	1	[]	[]	-0.333253997664	-0.760420132526	-0.386708737031	[]	[]
4	2	[]	[]	-0.663899213291	-0.158536193123	-0.452012269444	[]	[]
4	3	[]	[]	0.267300278574	0.958905764431	0.402956624747	[]	[]
5	0	[]	[]	[]	-0.733211896753	[]	[]	[]
5	1	[]	[]	[]	-1.10223043117	[]	[]	[]
5	2	[]	[]	[]	0.132388090522	[]	[]	[]
5	3	[]	[]	[]	0.601864537605	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
