a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	-0.195898066835	[]	[]	[]
2	1	[]	[]	[]	0.690941269357	[]	[]	[]
2	2	[]	[]	[]	-0.16979924529	[]	[]	[]
2	3	[]	[]	[]	-1.33092776099	[]	[]	[]
3	0	[]	[]	0.639021300155	-0.165569514626	-0.733211896753	[]	[]
3	1	[]	[]	0.695485857953	-0.729785475132	-1.10223043117	[]	[]
3	2	[]	[]	-0.31648299477	-0.869728408026	0.132388090522	[]	[]
3	3	[]	[]	-0.65890575433	-4.57831745069	0.601864537605	[]	[]
4	0	[]	[]	[]	-0.258950959846	[]	[]	[]
4	1	[]	[]	[]	0.660713403973	[]	[]	[]
4	2	[]	[]	[]	0.0532868921053	[]	[]	[]
4	3	[]	[]	[]	-1.13863341099	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	[]	[]
5	2	[]	[]	[]	[]	[]	[]	[]
5	3	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
