b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	2.50369380225	[]	[]	[]	[]
1	1	[]	[]	[]	[]	1.75737763959	[]	[]	[]	[]
1	2	[]	[]	[]	[]	0.39304701571	[]	[]	[]	[]
1	3	[]	[]	[]	[]	2.64428971015	[]	[]	[]	[]
2	0	[]	[]	[]	2.89086550004	2.45026514377	3.70102835269	[]	[]	[]
2	1	[]	[]	[]	1.96680738275	0.826022145585	2.30431686744	[]	[]	[]
2	2	[]	[]	[]	0.788306659451	1.64649394731	0.914964565318	[]	[]	[]
2	3	[]	[]	[]	1.09854036722	2.30835663434	1.32170936931	[]	[]	[]
3	0	[]	[]	1.9668947497	2.26156498976	1.68689164091	2.57216361628	1.94261614399	[]	[]
3	1	[]	[]	1.39618868901	1.70735245364	-0.143407313217	1.68795507446	1.37738200358	[]	[]
3	2	[]	[]	1.02244336726	0.878058476338	0.556484925532	0.91996349505	0.960092480793	[]	[]
3	3	[]	[]	2.24886272783	1.12857853501	2.53761215025	1.34408800003	2.2525471106	[]	[]
4	0	[]	2.30032866072	1.98998859178	1.79034322436	0.678820557893	1.88379289293	1.97611261783	2.28903413433	[]
4	1	[]	1.83438391893	1.05406908251	1.4738222665	-0.283482874937	1.65979398461	1.04522004097	1.82426226259	[]
4	2	[]	2.31371542968	0.911990513532	0.934448976907	1.35678893415	1.00801104523	0.680805704301	2.32089143564	[]
4	3	[]	2.24497579656	2.31005853872	1.76850684828	2.87746290117	1.91762373403	2.31585872553	2.24825868924	[]
5	0	[]	[]	1.78284882866	1.85308464096	0.555168116007	1.81524837179	1.77222688858	[]	[]
5	1	[]	[]	1.17537135928	0.889395831391	-0.339764963279	0.884731274189	1.16668262425	[]	[]
5	2	[]	[]	1.20826029804	1.35559691591	1.20499992201	1.41616579601	1.08607791611	[]	[]
5	3	[]	[]	1.95580483512	2.15212673956	4.3279963705	2.31366968828	1.92836133232	[]	[]
6	0	[]	[]	[]	1.48735402893	0.289951715038	1.45215135072	[]	[]	[]
6	1	[]	[]	[]	1.03580726083	-0.0875497459499	1.13563630754	[]	[]	[]
6	2	[]	[]	[]	1.5537557092	1.53722596742	1.57633020145	[]	[]	[]
6	3	[]	[]	[]	1.96840477363	6.62094498419	2.00292709635	[]	[]	[]
7	0	[]	[]	[]	[]	0.210029387706	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.206617115216	[]	[]	[]	[]
7	2	[]	[]	[]	[]	1.96872654369	[]	[]	[]	[]
7	3	[]	[]	[]	[]	2.47829063924	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
