a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	2.2732743451	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	2.5386703341	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	1.68578517472	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	1.90705680789	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.349197720621	1.16343347361	1.68325658997	[]	[]	[]	[]
2	1	[]	[]	[]	[]	2.21902097368	1.21778317705	1.0770364386	[]	[]	[]	[]
2	2	[]	[]	[]	[]	0.613612386574	1.6384589048	1.10067957638	[]	[]	[]	[]
2	3	[]	[]	[]	[]	1.23756430079	-0.73262831166	1.85509534288	[]	[]	[]	[]
3	0	[]	[]	[]	12.8607645938	1.73061881046	1.21171052696	1.75997962006	2.26988980166	[]	[]	[]
3	1	[]	[]	[]	3.52495215306	4.74500810683	1.53342190003	0.812975905283	1.06380915809	[]	[]	[]
3	2	[]	[]	[]	1.34199359563	1.09264414181	1.13168258779	1.3267157375	1.47212529554	[]	[]	[]
3	3	[]	[]	[]	1.20244097648	1.14834895751	-2.64954097137	2.16365307636	1.87727721648	[]	[]	[]
4	0	[]	[]	1.93683366481	1.27338033333	1.22525146312	1.02791389082	1.19137030624	1.44997073896	1.79944429301	[]	[]
4	1	[]	[]	2.30082261287	1.32194971555	1.01425037587	0.782909098459	0.0747561962688	0.251795797874	0.787757066466	[]	[]
4	2	[]	[]	3.22134685153	1.56186386976	1.67140678511	1.18527090442	1.40568051552	3.34279929254	1.82877598788	[]	[]
4	3	[]	[]	1.47209470643	1.76701835061	0.906851650575	2.42553155892	4.33801795703	3.77909858675	1.86144447727	[]	[]
5	0	[]	1.62703681666	1.30456116512	0.99049339733	1.01180050972	2.04611255779	2.15610319382	2.2698365233	1.5594763555	1.32659817792	[]
5	1	[]	2.28897274521	1.05488868121	0.879248570102	1.20470747264	2.21590310367	3.04535120574	9.39089328112	5.74484917159	0.639508287367	[]
5	2	[]	3.38584518233	1.2302101823	1.29332130234	1.020315924	1.01579509356	1.47106448956	1.63725358958	1.17970084901	1.42947924364	[]
5	3	[]	1.32657290395	0.722557019975	0.548855457462	0.647662874312	0.989995188537	1.09958568789	0.623914814515	1.71813600009	1.66969437196	[]
6	0	[]	[]	1.86026690545	1.23970399887	1.17759536789	1.01564507163	1.26269212559	1.45293857126	1.77839433713	[]	[]
6	1	[]	[]	2.42507609541	1.27813049337	0.980637263886	0.809179393529	0.0984767436593	0.279313362586	0.82576165892	[]	[]
6	2	[]	[]	4.09077895832	1.75514090848	1.9073504848	1.18044018543	1.22385895622	4.25685016768	1.81188792548	[]	[]
6	3	[]	[]	1.5331022265	3.14768430855	0.892424134545	3.9484786155	4.26393478493	5.60872187908	1.88956040947	[]	[]
7	0	[]	[]	[]	18.0635635381	1.95625579812	1.18562232923	1.7813813229	2.69322301373	[]	[]	[]
7	1	[]	[]	[]	3.89946882066	6.44969800654	1.96799989567	0.793580358123	1.04260602138	[]	[]	[]
7	2	[]	[]	[]	1.41858658721	1.1370086512	1.13146561811	1.32751865182	1.50429761277	[]	[]	[]
7	3	[]	[]	[]	1.23745527176	1.16678798991	-2.58709663499	2.21194109227	1.87739629428	[]	[]	[]
8	0	[]	[]	[]	[]	0.342081587999	1.14680319172	1.67729289312	[]	[]	[]	[]
8	1	[]	[]	[]	[]	2.22386671753	1.21678315365	1.07158493768	[]	[]	[]	[]
8	2	[]	[]	[]	[]	0.488403564448	1.57748319696	0.986171874331	[]	[]	[]	[]
8	3	[]	[]	[]	[]	1.24171475873	-1.75483158585	1.82988157333	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	2.25927212784	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	2.53494347162	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	1.6915123276	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	1.91179683661	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
