b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	2.63322258536	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	1.62971547524	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	0.943127816003	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	2.443450399	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.1303355315	3.32210495867	2.19824647896	[]	[]	[]	[]
2	1	[]	[]	[]	[]	1.75048305911	1.0392028895	1.83490295019	[]	[]	[]	[]
2	2	[]	[]	[]	[]	1.33332664294	2.02709986688	0.45924935422	[]	[]	[]	[]
2	3	[]	[]	[]	[]	3.17211056481	1.76200300234	2.64306924597	[]	[]	[]	[]
3	0	[]	[]	[]	2.81739771711	2.40812446418	1.53469635732	2.59789095409	3.56889862486	[]	[]	[]
3	1	[]	[]	[]	1.88986933539	1.35334032261	0.55517959307	1.39525745244	2.19234839969	[]	[]	[]
3	2	[]	[]	[]	0.785834734751	1.796829614	0.895292484751	1.5420167801	0.834052733823	[]	[]	[]
3	3	[]	[]	[]	1.15638024075	2.84057842426	2.11243396852	2.34771017829	1.23186849213	[]	[]	[]
4	0	[]	[]	1.86582390998	2.18447651343	1.87929473388	1.02310540353	1.96756980475	2.47750629108	1.84741245308	[]	[]
4	1	[]	[]	1.29642826616	1.615410415	0.999611495819	0.964695114026	1.03483100195	1.65167198531	1.28335027983	[]	[]
4	2	[]	[]	0.920984082352	0.839058905661	0.990101260224	0.844959286565	0.574357058301	0.836547682461	0.86166056936	[]	[]
4	3	[]	[]	2.15825507811	1.19081949604	2.95093976468	1.63449573014	2.55116669192	1.25354593895	2.15462570501	[]	[]
5	0	[]	2.19929399587	1.88972217263	1.71092054327	1.40120301023	0.850687927072	1.43785896506	1.800448252	1.88122598422	2.18978285433	[]
5	1	[]	1.73338090882	0.955591127618	1.3803621899	0.696054013185	2.49000347952	0.728394139022	1.6381056673	0.952163796121	1.72478911868	[]
5	2	[]	2.2147386423	0.800813866762	0.914864383747	1.92374508967	1.34097582618	1.4676939622	0.923645392755	0.579893537281	2.22183938891	[]
5	3	[]	2.14507936517	2.21435038683	1.78797141169	2.78028218549	0.757503301644	2.81959884155	1.82065351922	2.21707277071	2.14886240823	[]
6	0	[]	[]	1.68325658997	1.75997962006	1.19137030624	2.15610319382	1.26269212559	1.7813813229	1.67729289312	[]	[]
6	1	[]	[]	1.0770364386	0.812975905283	0.0747561962688	3.04535120574	0.0984767436593	0.793580358123	1.07158493768	[]	[]
6	2	[]	[]	1.10067957638	1.3267157375	1.40568051552	1.47106448956	1.22385895622	1.32751865182	0.986171874331	[]	[]
6	3	[]	[]	1.85509534288	2.16365307636	4.33801795703	1.09958568789	4.26393478493	2.21194109227	1.82988157333	[]	[]
7	0	[]	[]	[]	1.39710712102	0.634518554956	4.42334393113	0.657258405344	1.39860423408	[]	[]	[]
7	1	[]	[]	[]	0.946917937709	0.130269597842	6.31792388915	0.143363543268	1.08278228878	[]	[]	[]
7	2	[]	[]	[]	1.48940813306	1.71786254252	1.41679273223	1.51519120086	1.48144477391	[]	[]	[]
7	3	[]	[]	[]	1.9110150272	5.73456845867	0.760208217945	6.46011055008	1.90599086441	[]	[]	[]
8	0	[]	[]	[]	[]	0.426360967096	8.81039602826	0.447740924305	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.323176828048	6.64310178548	0.349622036615	[]	[]	[]	[]
8	2	[]	[]	[]	[]	1.86456277659	1.91051718541	1.88839651401	[]	[]	[]	[]
8	3	[]	[]	[]	[]	2.45898451909	0.038309903537	2.37253086446	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	9.78210307063	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	5.61060105665	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	2.11632943592	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	1.98397334468	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
