c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	0.924039200236	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	2.44540119429	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	2.06755644205	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	3.66131833463	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	1.76779393196	1.37413692555	1.62703681666	[]	[]	[]	[]
1	1	[]	[]	[]	[]	1.28385894125	1.23632048634	2.28897274521	[]	[]	[]	[]
1	2	[]	[]	[]	[]	2.11427278991	3.67062637806	3.38584518233	[]	[]	[]	[]
1	3	[]	[]	[]	[]	2.32154443326	1.07035520502	1.32657290395	[]	[]	[]	[]
2	0	[]	[]	[]	1.02806652384	2.10423216248	1.74159001466	1.30456116512	1.33013981929	[]	[]	[]
2	1	[]	[]	[]	2.03556436967	1.31977583864	1.26069439107	1.05488868121	1.93237184619	[]	[]	[]
2	2	[]	[]	[]	2.14350045404	1.5612910934	1.24295448227	1.2302101823	1.41876350975	[]	[]	[]
2	3	[]	[]	[]	0.78445930137	0.862560664453	1.14080070259	0.722557019975	0.883688946994	[]	[]	[]
3	0	[]	[]	-0.1486550058	0.788416899236	0.91127025101	1.21741724097	0.99049339733	1.15660125314	1.37571444039	[]	[]
3	1	[]	[]	1.09705649245	1.24190857634	1.15378116692	0.897115646409	0.879248570102	0.936679075699	2.02456879398	[]	[]
3	2	[]	[]	1.54412694238	1.79428144107	1.61995624775	1.50656010508	1.29332130234	0.9906052549	1.11299405696	[]	[]
3	3	[]	[]	4.07893939657	0.940537588457	1.02544555401	1.16491400539	0.548855457462	0.437554632658	0.310637391652	[]	[]
4	0	[]	0.991236956742	0.732559598056	0.574735631206	0.545642477549	0.595345852642	1.01180050972	1.39862453514	1.10922100987	1.08716069303	[]
4	1	[]	0.343432275623	0.701718089192	0.964160849144	0.881372910433	0.290557121591	1.20470747264	1.24133414586	0.752614087307	2.00896490993	[]
4	2	[]	2.05264171206	4.185404613	2.60805033414	1.72801748317	0.649113394007	1.020315924	1.07529322332	0.926819605525	0.843703003669	[]
4	3	[]	2.36977215371	1.23543193322	1.19505003592	0.931109425437	0.834517059696	0.647662874312	0.700984513242	0.87039487691	1.32115886454	[]
5	0	2.6958787218	3.8692128946	2.46974934032	1.58048241322	0.949875600064	0.0	2.04611255779	2.85298257388	3.97032025269	4.20247394545	4.60060082902
5	1	2.17282531003	1.9378874563	1.02491510479	0.743558170373	0.399623148365	1.86595249989	2.21590310367	1.37528954134	1.93130213016	2.01386467168	2.06868132978
5	2	2.17959151754	1.65685848811	1.44223147944	0.639680920672	1.05364936768	1.15460582994	1.01579509356	1.15973065695	1.3376841232	2.14469967171	2.83865814511
5	3	0.95754029604	1.51822037045	1.40892381613	1.13195199569	1.19029360102	1.41089501164	0.989995188537	2.73695120783	5.87495609192	8.46667765222	4.13418136721
6	0	[]	2.63322258536	3.32210495867	1.53469635732	1.02310540353	0.850687927072	2.15610319382	4.42334393113	8.81039602826	9.78210307063	[]
6	1	[]	1.62971547524	1.0392028895	0.55517959307	0.964695114026	2.49000347952	3.04535120574	6.31792388915	6.64310178548	5.61060105665	[]
6	2	[]	0.943127816003	2.02709986688	0.895292484751	0.844959286565	1.34097582618	1.47106448956	1.41679273223	1.91051718541	2.11632943592	[]
6	3	[]	2.443450399	1.76200300234	2.11243396852	1.63449573014	0.757503301644	1.09958568789	0.760208217945	0.038309903537	1.98397334468	[]
7	0	[]	[]	3.02941825868	4.21624823254	1.87414548282	1.71835231561	2.2698365233	5.13751252129	7.8536310505	[]	[]
7	1	[]	[]	1.73381653874	1.57367286286	2.1444642316	3.04393435929	9.39089328112	13.4387894774	12.7759479009	[]	[]
7	2	[]	[]	2.72796724273	3.59928745951	3.40938426876	2.50391868535	1.63725358958	1.27345301454	1.12990021005	[]	[]
7	3	[]	[]	4.33220447813	2.12564447605	1.22927416445	1.13294604697	0.623914814515	0.713679148231	1.27486683189	[]	[]
8	0	[]	[]	[]	2.91541276658	2.7133049392	1.71658010032	1.5594763555	2.10250526935	[]	[]	[]
8	1	[]	[]	[]	1.68035051817	2.18111816576	4.09499199135	5.74484917159	6.52423085029	[]	[]	[]
8	2	[]	[]	[]	3.56990943126	2.27545943069	1.31103207764	1.17970084901	1.26336160015	[]	[]	[]
8	3	[]	[]	[]	1.03974352469	0.981467387246	1.04429625356	1.71813600009	1.64511498893	[]	[]	[]
9	0	[]	[]	[]	[]	1.5787114825	1.30873649126	1.32659817792	[]	[]	[]	[]
9	1	[]	[]	[]	[]	1.01193523318	1.17893070345	0.639508287367	[]	[]	[]	[]
9	2	[]	[]	[]	[]	-0.00945839532984	1.22436511176	1.42947924364	[]	[]	[]	[]
9	3	[]	[]	[]	[]	2.12832569262	1.64296665594	1.66969437196	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	1.70772939355	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	1.30563125819	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	1.86955230232	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	1.82361123433	[]	[]	[]	[]	[]
