c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	0.343454392155	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	3.27053254685	[]	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]	[]	3.49040111921	[]	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]	[]	1.51081578205	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	1.88659329148	2.08402289887	1.56884324468	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	0.743079327892	1.19556024381	3.46930886553	[]	[]	[]	[]	[]
5	2	[]	[]	[]	[]	[]	2.73702409679	0.238371692891	1.71303269453	[]	[]	[]	[]	[]
5	3	[]	[]	[]	[]	[]	1.24305710254	2.31520403901	2.47216522253	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	2.89074200521	3.52208484459	3.17531625827	2.38299019307	2.43216588122	[]	[]	[]	[]
6	1	[]	[]	[]	[]	2.9562535143	2.9090190553	2.33966769393	2.45353792554	3.37856957335	[]	[]	[]	[]
6	2	[]	[]	[]	[]	2.21346602462	2.36997995116	2.57520442432	2.81247571038	2.72687674432	[]	[]	[]	[]
6	3	[]	[]	[]	[]	1.76946883582	-0.462826743165	1.42326353482	-0.509664876035	1.55182228129	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	3.07564092795	3.10950736472	2.9076758899	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	2.51718378187	2.19018054759	2.30555897015	[]	[]	[]	[]	[]
7	2	[]	[]	[]	[]	[]	2.09619388329	1.81894023757	2.22262208431	[]	[]	[]	[]	[]
7	3	[]	[]	[]	[]	[]	3.3837280797	3.44792762949	3.06236563646	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	3.09870630454	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	2.70606379754	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	2.60848565935	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	3.19516977298	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
