a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	3.34841272961	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	2.93714381494	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	4.14561861374	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	4.52560192074	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.89649692066	3.5851591024	3.09366417588	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	0.761155351993	2.92713003622	2.52545059004	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	2.76952902094	2.39098833709	2.14434112869	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	1.45329017176	0.285842303086	3.39108161464	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	18.6644166302	6.41363845571	7.10449455527	3.41869786041	3.0057425669	[]	[]	[]	[]
3	1	[]	[]	[]	[]	15.6781860421	8.47411886999	2.37317934842	2.83495552611	2.98667782206	[]	[]	[]	[]
3	2	[]	[]	[]	[]	3.39557354581	1.22650451039	2.16829341255	2.06071671975	1.57104817955	[]	[]	[]	[]
3	3	[]	[]	[]	[]	3.06848475496	2.2656592943	1.84513924113	2.44862706225	3.27083131267	[]	[]	[]	[]
4	0	[]	[]	[]	3.42738790381	3.20845454201	2.30336801638	2.70784572211	3.12695092454	3.10448173681	2.98647814775	[]	[]	[]
4	1	[]	[]	[]	2.71134326272	2.93691238414	2.26573918575	2.26055252735	2.23177407195	2.7463976762	2.79078823871	[]	[]	[]
4	2	[]	[]	[]	3.39818732959	3.07402266448	3.0257642668	2.5183579079	2.17847025707	3.65974303838	3.56889907428	[]	[]	[]
4	3	[]	[]	[]	3.63731679113	4.05650146355	2.37760597256	2.82381536074	4.0478304305	5.22289204679	3.76302151901	[]	[]	[]
5	0	[]	[]	-0.928451896785	2.10593616325	2.36085167321	2.65904325962	2.3596978111	2.5537527162	2.3132675212	2.75041509674	2.59555055494	[]	[]
5	1	[]	[]	-2.08518162203	1.06059280493	2.38720030795	2.47199138556	2.59958274893	2.99135735582	3.0803307593	3.06243119582	2.51538061809	[]	[]
5	2	[]	[]	3.46653790277	2.86541006561	-2.90536605747	-2.6774083233	1.01108270377	1.63097963599	2.37228188609	2.70124139928	1.54630331278	[]	[]
5	3	[]	[]	2.88781979171	-0.389980272392	0.231467659132	-0.0342138498272	2.22107799966	2.4408855481	2.35328026919	2.13748610719	3.38753256476	[]	[]
6	0	[]	-15.6447004474	1.4945437443	-5.59698651055	-3.93949488565	-9.22779189551	1.80019631906	1.31564398359	2.71758048629	3.68662544046	-2.6968185174	0.742751372949	[]
6	1	[]	-12.6162612716	-2.3089567826	0.847263972846	1.12688561948	-7.92706273432	-3.91954914588	0.729305311486	1.73190524661	2.10828822571	1.92118837598	2.35556025568	[]
6	2	[]	3.28781697597	3.16525757134	0.931331742641	1.20820202939	1.16757323505	1.22780159101	2.28385744604	2.15379111475	2.44877273133	1.40044207234	2.28231146612	[]
6	3	[]	3.20054221063	1.61753511435	1.93408890493	1.5041944915	1.92185557782	2.04815564826	2.28366678107	2.51535978374	2.02018935919	2.72543860433	3.13252711735	[]
7	0	[]	[]	2.28694409353	3.24055806187	1.67205953697	2.22623299332	2.57959280304	2.67846203594	3.43751551781	4.0167597405	3.4012531219	[]	[]
7	1	[]	[]	1.60136777328	2.70882043447	2.07482333194	1.90307511526	1.64740805857	1.76553254138	2.18640033619	2.87575666141	2.92746345056	[]	[]
7	2	[]	[]	2.98338850539	2.39043142159	3.06029997062	3.26334728266	2.1759053624	1.79992004946	-1.59147438109	0.486045188187	1.53705353525	[]	[]
7	3	[]	[]	2.74921432644	2.42504491626	2.60247490406	2.57806786918	1.78947054092	1.30679285563	1.69445641309	2.46291011316	2.92441192449	[]	[]
