b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	3.32399757431	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	3.13317204798	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	1.39887299522	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	2.04188741983	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	2.01000438556	3.52675475513	3.85057382022	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	2.02162327742	2.15398183462	3.23014256482	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]	2.34225138873	1.29482469722	-1.25325800371	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]	2.12538488632	2.03449611836	-1.02136749648	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	3.1002707936	2.39580634757	3.10578989636	4.34558159209	2.7786428881	[]	[]	[]	[]
4	1	[]	[]	[]	[]	2.83163803266	2.7919909014	1.25818451039	2.87744880954	2.61985063882	[]	[]	[]	[]
4	2	[]	[]	[]	[]	3.00822413491	2.99405847134	0.813962769288	-1.57415339376	2.83010262733	[]	[]	[]	[]
4	3	[]	[]	[]	[]	5.13729512074	2.51309092679	2.5608201246	0.00609363740726	5.56153615285	[]	[]	[]	[]
5	0	[]	[]	[]	3.0057425669	3.10448173681	2.3132675212	2.71758048629	3.43751551781	2.85108737966	3.02624312213	[]	[]	[]
5	1	[]	[]	[]	2.98667782206	2.7463976762	3.0803307593	1.73190524661	2.18640033619	2.56251419905	3.13453929775	[]	[]	[]
5	2	[]	[]	[]	1.57104817955	3.65974303838	2.37228188609	2.15379111475	-1.59147438109	4.00985879454	1.61457326907	[]	[]	[]
5	3	[]	[]	[]	3.27083131267	5.22289204679	2.35328026919	2.51535978374	1.69445641309	5.83944845311	3.2488160129	[]	[]	[]
6	0	[]	[]	3.10429215012	3.16497732614	2.92754238703	2.6434307111	2.9131464507	2.74003352468	2.73835645942	3.24133938583	3.09870630454	[]	[]
6	1	[]	[]	2.71300042773	2.55917225563	1.95750449427	3.49405659365	1.47301417577	1.71113248547	1.78912702764	2.53728539634	2.70606379754	[]	[]
6	2	[]	[]	2.69750191581	2.23680794423	4.34375262829	2.21514329716	2.39596744647	0.14755090708	5.21695415085	2.2605478706	2.60848565935	[]	[]
6	3	[]	[]	3.19534608258	3.23341295569	3.76227709709	2.32621000755	2.19681307212	1.77195928398	4.34085534556	3.19803532325	3.19516977298	[]	[]
7	0	[]	[]	[]	3.51318385258	2.68663015245	3.043162912	2.80510963061	2.38021747802	2.57576111042	3.80745699136	[]	[]	[]
7	1	[]	[]	[]	2.28737147703	1.46338838202	5.24127933774	2.53485872082	1.49000333273	1.34988801475	2.30683205486	[]	[]	[]
7	2	[]	[]	[]	2.72026509829	4.26125985802	2.68929932009	2.54487850669	1.49869321031	5.25447891137	2.70672460673	[]	[]	[]
7	3	[]	[]	[]	3.11103576639	4.85283042058	1.75574418194	1.80805294373	2.00760425574	6.56906760329	3.08788602026	[]	[]	[]
8	0	[]	[]	[]	[]	2.43587651696	4.02047121843	2.99609985851	2.06229353284	2.27226589869	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.998941243661	6.55320876195	3.27534601113	1.53005326236	0.802316774976	[]	[]	[]	[]
8	2	[]	[]	[]	[]	3.68187989856	2.49592697118	2.40817940937	1.94667428566	4.2685733843	[]	[]	[]	[]
8	3	[]	[]	[]	[]	3.55555364117	-1.13842814355	1.4317106014	1.99269625254	3.82089377784	[]	[]	[]	[]
