c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	21.827013517	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	9.06884181611	[]	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]	[]	3.47932977328	[]	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]	[]	2.30992732734	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	26.3081677522	15.2455793516	19.590365122	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	22.2654709861	10.5975704787	5.02714908204	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]	3.53644783795	3.12879206773	2.68458112892	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]	3.18085029939	2.67906898662	2.49749656014	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	2.77065245804	8.23806598193	8.97453716346	3.26577526551	6.96515716971	[]	[]	[]	[]
5	1	[]	[]	[]	[]	18.8137925146	11.3438269654	9.83219084762	7.8765038147	3.28868169487	[]	[]	[]	[]
5	2	[]	[]	[]	[]	3.16223457577	1.33488036164	2.01204796141	2.38076959091	2.63007506242	[]	[]	[]	[]
5	3	[]	[]	[]	[]	1.13852793162	2.27560004399	2.17280975935	2.41023196575	2.03799518262	[]	[]	[]	[]
6	0	[]	[]	[]	11.8137410576	14.3359275179	8.83581286229	3.03041251398	2.44086851892	2.25604018041	2.30180252176	[]	[]	[]
6	1	[]	[]	[]	3.49289447948	3.28731197007	2.37094572389	2.16351240729	3.30283662177	2.9219593309	3.31813140061	[]	[]	[]
6	2	[]	[]	[]	2.80153450609	2.04963834938	2.24970067882	2.13160643147	2.38201539747	1.89827439711	1.83843583223	[]	[]	[]
6	3	[]	[]	[]	2.08931793675	1.17494950865	1.8998563563	1.02182561349	-1.3072283822	-2.18657136247	1.75476297991	[]	[]	[]
7	0	[]	[]	[]	[]	4.65606137832	3.6171016041	2.97993350746	3.06147727874	2.66616342439	[]	[]	[]	[]
7	1	[]	[]	[]	[]	3.33660865877	2.93416072161	2.96224957116	2.0169655586	2.3745625831	[]	[]	[]	[]
7	2	[]	[]	[]	[]	2.07925865019	2.08882449902	2.16284554342	2.55560468178	2.70358931278	[]	[]	[]	[]
7	3	[]	[]	[]	[]	2.42753802355	2.44673878036	3.01638515446	3.39627977717	3.12278010663	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	3.02624312213	3.24133938583	3.80745699136	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	3.13453929775	2.53728539634	2.30683205486	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	1.61457326907	2.2605478706	2.70672460673	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	3.2488160129	3.19803532325	3.08788602026	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	3.14530715916	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	4.09200829224	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	2.59829828257	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	3.16664665232	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
