a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	2.16517108202	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	3.30683572452	[]	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]	[]	1.78971853919	[]	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]	[]	1.69320753047	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	2.15583842327	1.83322278608	1.63408338294	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	3.22484610897	2.30244369572	1.52359891594	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]	2.95877656096	3.40350981459	3.08568846116	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]	2.81064503214	2.12184376934	3.65125648486	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	2.52514266614	2.59450157056	3.69179875965	5.24734767864	4.84882253587	[]	[]	[]	[]
5	1	[]	[]	[]	[]	2.80427852674	2.11616217632	2.7902554092	4.51671758586	6.10422815468	[]	[]	[]	[]
5	2	[]	[]	[]	[]	-0.796098585722	1.06049591029	2.57816483539	2.71206022264	2.26828253953	[]	[]	[]	[]
5	3	[]	[]	[]	[]	-0.0699952231021	1.44970692075	-0.583104757984	1.49317942825	2.19103811786	[]	[]	[]	[]
6	0	[]	[]	[]	-0.708204365654	1.49383741031	-3.75239825654	-0.437817080793	2.77530456079	2.91520642907	-0.591016245131	[]	[]	[]
6	1	[]	[]	[]	3.42307153199	-0.772194875792	-1.12700412941	1.50592382828	0.26810637737	3.78451490174	-2.65246844297	[]	[]	[]
6	2	[]	[]	[]	1.50878825655	1.62532128505	2.02198905809	2.30887716153	2.3503304568	2.30052140026	2.07992736209	[]	[]	[]
6	3	[]	[]	[]	0.287127874673	0.684618421226	1.33691286884	3.09945318952	1.58805020664	-0.375456277706	1.35439692697	[]	[]	[]
7	0	[]	[]	[]	[]	1.41239605391	2.17413510342	1.32389544168	1.28736757394	2.02287834896	[]	[]	[]	[]
7	1	[]	[]	[]	[]	3.48082874977	1.47327300807	1.23862864101	1.0389813539	1.22473730919	[]	[]	[]	[]
7	2	[]	[]	[]	[]	2.61946423485	2.40216320351	2.31907929417	2.06651977517	2.55756857602	[]	[]	[]	[]
7	3	[]	[]	[]	[]	1.73129304485	2.19330636233	2.58281011939	1.5834863909	2.90181835952	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	2.24399923334	1.88743592319	1.5337278942	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	3.20840425145	2.32696867376	1.53516058377	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	3.53857485868	4.56997255687	2.97877911747	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	4.02243343743	4.7063461144	3.46299660609	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	2.30180252176	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	3.31813140061	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	1.83843583223	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	1.75476297991	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
