c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.31148365654	[]	[]	[]
1	1	[]	[]	[]	1.13434971182	[]	[]	[]
2	0	[]	[]	1.81532809985	1.25911595298	2.30928756085	[]	[]
2	1	[]	[]	1.49076827462	1.77659188536	3.00165755469	[]	[]
3	0	[]	0.863609988886	0.891047825029	0.538069028113	1.01464410228	0.454129534388	[]
3	1	[]	0.838366384168	0.601077376694	0.965869982519	0.865149109141	1.75937321474	[]
4	0	[]	[]	1.82857794871	1.26007522148	2.33083124313	[]	[]
4	1	[]	[]	1.50087821308	1.78767801976	3.02681044879	[]	[]
5	0	[]	[]	[]	1.31150078576	[]	[]	[]
5	1	[]	[]	[]	1.13412375147	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
