a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	0.802265990701	[]	[]	[]
1	1	[]	[]	[]	0.331924098887	[]	[]	[]
2	0	[]	[]	2.12737173666	0.363833872516	2.14709247407	[]	[]
2	1	[]	[]	2.35147159384	0.520928101027	2.37812042014	[]	[]
3	0	[]	1.45261167274	1.36133173163	0.502618853301	1.37224102495	1.45339884238	[]
3	1	[]	1.91552962273	2.49616000609	-0.187501058311	2.52056402215	1.91659859575	[]
4	0	[]	[]	2.30928756085	1.01464410228	2.33083124313	[]	[]
4	1	[]	[]	3.00165755469	0.865149109141	3.02681044879	[]	[]
5	0	[]	[]	[]	0.98832993607	[]	[]	[]
5	1	[]	[]	[]	1.65650556112	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
