b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	1.71384309452	[]	[]	[]
0	1	[]	[]	[]	1.40468704042	[]	[]	[]
1	0	[]	[]	1.64739440289	1.26983687718	0.863609988886	[]	[]
1	1	[]	[]	1.2430689244	1.15278420625	0.838366384168	[]	[]
2	0	[]	1.14759268142	1.04531213136	0.21439057969	0.891047825029	0.536691938228	[]
2	1	[]	0.801065932585	0.695361915172	0.142509192193	0.601077376694	0.69917844607	[]
3	0	2.31726293526	1.52309490603	0.96482877063	0.0	0.538069028113	1.06867146643	1.3766910772
3	1	1.6352342679	1.14962753109	0.308219320019	0.327431031785	0.965869982519	1.46070998156	2.09134483597
4	0	[]	0.802265990701	0.363833872516	0.502618853301	1.01464410228	0.98832993607	[]
4	1	[]	0.331924098887	0.520928101027	-0.187501058311	0.865149109141	1.65650556112	[]
5	0	[]	[]	-0.265257766235	0.484453222905	0.454129534388	[]	[]
5	1	[]	[]	0.342248680281	1.09014169044	1.75937321474	[]	[]
6	0	[]	[]	[]	1.37268675053	[]	[]	[]
6	1	[]	[]	[]	1.61678025699	[]	[]	[]
