b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.4896104246	[]	[]	[]
1	1	[]	[]	[]	1.44278736327	[]	[]	[]
2	0	[]	[]	1.46020985504	1.39416893367	1.4123492026	[]	[]
2	1	[]	[]	1.57810663698	1.55169556639	1.43435017972	[]	[]
3	0	[]	1.43841587069	1.60916949209	1.31062349922	1.42339952747	1.40338279745	[]
3	1	[]	1.76676480464	1.59345337783	1.44444759378	1.57185514919	1.22842020361	[]
4	0	[]	[]	1.64329803533	1.39724359784	1.69608033062	[]	[]
4	1	[]	[]	1.47230103708	1.42735179619	1.43461189492	[]	[]
5	0	[]	[]	[]	1.38270014451	[]	[]	[]
5	1	[]	[]	[]	1.39222665171	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
