c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	0.560476507981	[]	[]	[]
1	1	[]	[]	[]	0.625153917893	[]	[]	[]
2	0	[]	[]	0.526660232374	0.480507717923	0.516905235248	[]	[]
2	1	[]	[]	0.546378373953	0.531841211909	0.610984634751	[]	[]
3	0	[]	0.555845928924	0.464643975323	0.2289453957	0.431797896986	0.532388903192	[]
3	1	[]	0.57594226681	0.4901727522	0.446023169897	0.534264732036	0.624220423941	[]
4	0	[]	[]	0.527315739867	0.48235450768	0.519634904029	[]	[]
4	1	[]	[]	0.546038357635	0.532361341315	0.611839968689	[]	[]
5	0	[]	[]	[]	0.561054036175	[]	[]	[]
5	1	[]	[]	[]	0.625022878813	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
