a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	0.606551816793	[]	[]	[]
0	1	[]	[]	[]	0.52845272898	[]	[]	[]
1	0	[]	[]	0.544641589329	0.500594828602	0.539788288813	[]	[]
1	1	[]	[]	0.519895896856	0.391006272012	0.518832187384	[]	[]
2	0	[]	0.608165870797	0.50827737519	0.235475985132	0.505997838854	0.607273789087	[]
2	1	[]	0.573233205366	0.495134524226	0.263994737924	0.494501316165	0.57309898682	[]
3	0	0.720860185801	0.576758998128	0.480781862345	0.0	0.480821977029	0.576651908346	0.720761280279
3	1	0.720510067533	0.582592177944	0.496222021687	0.320313020764	0.496090937394	0.582608235809	0.720381280434
4	0	[]	0.560476507981	0.480507717923	0.2289453957	0.48235450768	0.561054036175	[]
4	1	[]	0.625153917893	0.531841211909	0.446023169897	0.532361341315	0.625022878813	[]
5	0	[]	[]	0.49648719031	0.465193926601	0.499970258237	[]	[]
5	1	[]	[]	0.588343567497	0.538529614421	0.588668053746	[]	[]
6	0	[]	[]	[]	0.54916028326	[]	[]	[]
6	1	[]	[]	[]	0.611810939066	[]	[]	[]
