a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	8.01942424141	2.63401663369	5.25114501186	[]
1	1	[]	4.60416666065	4.16902921857	4.41574682112	[]
1	2	[]	4.48935675751	3.95592322822	5.00125106284	[]
1	3	[]	7.07670192735	3.07652614808	4.39507331259	[]
2	0	[]	3.21247770682	0.0	0.230794913431	[]
2	1	[]	4.23452472132	3.25593296445	2.81705391335	[]
2	2	[]	0.0678440013095	1.24743995725	3.31121144345	[]
2	3	[]	3.09714303905	2.46559900284	[]	[]
3	0	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
