b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	3.01964799638	0.573866684751	[]	[]
1	1	[]	6.0123516122	3.46564555425	[]	[]
1	2	[]	3.10160419432	1.12881591599	[]	[]
1	3	[]	6.42652226048	3.31464607873	[]	[]
2	0	[]	2.63401663369	0.0	[]	[]
2	1	[]	4.16902921857	3.25593296445	[]	[]
2	2	[]	3.95592322822	1.24743995725	[]	[]
2	3	[]	3.07652614808	2.46559900284	[]	[]
3	0	[]	6.88687141362	[]	[]	[]
3	1	[]	3.3730814775	[]	[]	[]
3	2	[]	5.98104969115	[]	[]	[]
3	3	[]	3.33130238001	[]	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
