c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	-0.99684885257	[]	[]
1	1	[]	[]	0.993896599161	[]	[]
1	2	[]	[]	0.943755844387	[]	[]
1	3	[]	[]	-1.38408754395	[]	[]
2	0	[]	0.445818727361	0.918449340918	0.50091015969	[]
2	1	[]	-0.0704172000269	0.00971256917318	0.933625065825	[]
2	2	[]	1.03189613195	-0.395133819873	-0.306140525226	[]
2	3	[]	0.823556815064	0.861061564314	0.0294683971596	[]
3	0	[]	[]	0.796574100812	[]	[]
3	1	[]	[]	0.252593310223	[]	[]
3	2	[]	[]	0.34255211022	[]	[]
3	3	[]	[]	0.751962249725	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
