c\b	mol	0	1	2	3	4
0	0	[]	[]	3.08191046171	[]	[]
0	1	[]	[]	0.735603332614	[]	[]
0	2	[]	[]	0.73505540271	[]	[]
0	3	[]	[]	0.273613929921	[]	[]
1	0	[]	0.411171034171	-0.0419366219919	1.72002028588	[]
1	1	[]	2.75852493505	2.75106389165	0.230204955433	[]
1	2	[]	0.903436945045	1.47265767797	0.446128663042	[]
1	3	[]	0.486595304035	-0.2649846411	-0.410987418368	[]
2	0	2.72202227259	2.53656784081	0.0	0.860262549714	-0.0201316244426
2	1	0.768583875776	-0.0169240573075	-0.668947826977	-0.0815909307486	0.467958714684
2	2	1.15850638241	-0.1281450285	-0.53947569599	0.0490594276391	0.176891974358
2	3	-0.395567883294	0.786256204632	0.588290199848	1.78530280656	1.21236002536
3	0	[]	1.53782378341	0.37628465127	0.180957906025	[]
3	1	[]	0.238780323136	0.463619427756	-0.444195423758	[]
3	2	[]	-0.626340699907	0.341042273464	0.38957935739	[]
3	3	[]	0.40426777279	0.791287950793	0.727950611156	[]
4	0	[]	[]	0.999906605642	[]	[]
4	1	[]	[]	-0.637062195965	[]	[]
4	2	[]	[]	-0.23394763281	[]	[]
4	3	[]	[]	0.688335507037	[]	[]
