b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.412558738379	[]	[]
1	1	[]	[]	2.76533106058	[]	[]
1	2	[]	[]	0.902834169701	[]	[]
1	3	[]	[]	0.486684993316	[]	[]
2	0	[]	-0.997034659044	-0.0414469198747	-1.00254000598	[]
2	1	[]	0.993036749656	2.75815734349	1.0149652691	[]
2	2	[]	0.942869446534	1.47298713479	1.03217075245	[]
2	3	[]	-1.38339749603	-0.2656991403	-1.32766968637	[]
3	0	[]	[]	1.72375090528	[]	[]
3	1	[]	[]	0.229138565102	[]	[]
3	2	[]	[]	0.445811716402	[]	[]
3	3	[]	[]	-0.411673129994	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
