a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.500228198916	[]	[]
1	1	[]	[]	0.932770369785	[]	[]
1	2	[]	[]	-0.306185656969	[]	[]
1	3	[]	[]	0.0292843471453	[]	[]
2	0	[]	1.72375090528	0.862365938448	0.181172525608	[]
2	1	[]	0.229138565102	-0.0823621359197	-0.444789107426	[]
2	2	[]	0.445811716402	0.0482282859124	0.388999387666	[]
2	3	[]	-0.411673129994	1.7865427309	0.727292986511	[]
3	0	[]	[]	0.491425718416	[]	[]
3	1	[]	[]	0.944038399053	[]	[]
3	2	[]	[]	-0.268594433543	[]	[]
3	3	[]	[]	0.040531509265	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
