b\a	mol	0	1	2	3	4
0	0	[]	[]	2.72510526637	[]	[]
0	1	[]	[]	0.768034868342	[]	[]
0	2	[]	[]	1.15804841858	[]	[]
0	3	[]	[]	-0.395610755319	[]	[]
1	0	[]	0.445231072358	2.53810009642	0.429060259401	[]
1	1	[]	-0.0709700450822	-0.0174418252256	-0.0780858513871	[]
1	2	[]	1.03116681887	-0.128722831191	1.08524642642	[]
1	3	[]	0.823448948904	0.786957048838	0.846775281025	[]
2	0	1.6122750093	0.917739447303	0.0	0.907224850241	1.60717891816
2	1	1.04717698725	0.00885211063147	-0.66962803482	0.00904025603943	1.04677000246
2	2	1.14293466638	-0.395395025262	-0.539940423369	-0.328333361406	1.15013427243
2	3	1.55713236369	0.860644638147	0.588476469833	0.855810609081	1.55639327038
3	0	[]	0.500228198916	0.862365938448	0.491425718416	[]
3	1	[]	0.932770369785	-0.0823621359197	0.944038399053	[]
3	2	[]	-0.306185656969	0.0482282859124	-0.268594433543	[]
3	3	[]	0.0292843471453	1.7865427309	0.040531509265	[]
4	0	[]	[]	-0.0206012604544	[]	[]
4	1	[]	[]	0.466833836098	[]	[]
4	2	[]	[]	0.176150388282	[]	[]
4	3	[]	[]	1.21255838734	[]	[]
