b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	-0.643398647906	[]	[]
1	1	[]	[]	-2.00839715048	[]	[]
1	2	[]	[]	-0.730038065043	[]	[]
1	3	[]	[]	-2.41256690695	[]	[]
2	0	[]	-1.29157373488	-1.13513806817	-1.29130014539	[]
2	1	[]	0.331441316393	-2.02415329477	0.352469346504	[]
2	2	[]	0.368076442733	-3.46414266411	0.473132912207	[]
2	3	[]	-1.4335136149	-1.20056689208	-1.36015833621	[]
3	0	[]	[]	-1.21356386802	[]	[]
3	1	[]	[]	-0.775830802209	[]	[]
3	2	[]	[]	-1.89608974066	[]	[]
3	3	[]	[]	-0.991042183709	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
