a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	9.7647174126	[]	[]	[]
3	1	[]	[]	[]	2.06641234085	[]	[]	[]
3	2	[]	[]	[]	0.135426716196	[]	[]	[]
3	3	[]	[]	[]	-0.885626006934	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	[]	[]
5	2	[]	[]	[]	[]	[]	[]	[]
5	3	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
