b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	0.493302986985	[]	[]	[]
2	1	[]	[]	[]	0.656040970882	[]	[]	[]
2	2	[]	[]	[]	-1.04137056823	[]	[]	[]
2	3	[]	[]	[]	0.617443739984	[]	[]	[]
3	0	[]	[]	0.426949438614	0.822125629292	0.442261797524	[]	[]
3	1	[]	[]	0.0418972281369	-0.579608850752	0.0694039029704	[]	[]
3	2	[]	[]	0.262403211022	-0.455349933037	-0.0245740537246	[]	[]
3	3	[]	[]	0.494075350439	0.604777044563	0.542944564445	[]	[]
4	0	[]	[]	[]	1.562196796	[]	[]	[]
4	1	[]	[]	[]	-1.10083298532	[]	[]	[]
4	2	[]	[]	[]	0.0670322565831	[]	[]	[]
4	3	[]	[]	[]	0.511085111118	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	[]	[]
5	2	[]	[]	[]	[]	[]	[]	[]
5	3	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
