a\c	mol	0	1	2	3	4
0	0	[]	[]	2.73219679641	[]	[]
0	1	[]	[]	1.31225116049	[]	[]
1	0	[]	0.474325930081	0.520970223982	0.473618347641	[]
1	1	[]	0.700207954967	0.253105147754	0.698692220128	[]
2	0	0.695485549462	0.622040070764	0.0	0.618816580998	0.693969488008
2	1	0.709829443687	0.668539528592	0.331549287714	0.665522171352	0.70952178921
3	0	[]	0.672207790281	0.16466566009	0.667360686223	[]
3	1	[]	0.503824496318	1.13369749169	0.499689753076	[]
4	0	[]	[]	1.12882196453	[]	[]
4	1	[]	[]	2.06438145209	[]	[]
