b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	2.12228244425	[]	[]	[]
1	1	[]	[]	[]	1.46581247745	[]	[]	[]
2	0	[]	[]	1.13041939651	1.659903519	1.81532809985	[]	[]
2	1	[]	[]	1.58296655772	1.11599957592	1.49076827462	[]	[]
3	0	[]	3.09215866189	1.4393012883	1.32280689348	1.25911595298	1.67249499918	[]
3	1	[]	1.77192690711	1.28844533816	1.28935103694	1.77659188536	2.46019518493	[]
4	0	[]	[]	2.12737173666	1.36133173163	2.30928756085	[]	[]
4	1	[]	[]	2.35147159384	2.49616000609	3.00165755469	[]	[]
5	0	[]	[]	[]	1.45722607672	[]	[]	[]
5	1	[]	[]	[]	2.33182815948	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
