a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	2.31726293526	[]	[]	[]
0	1	[]	[]	[]	1.6352342679	[]	[]	[]
1	0	[]	[]	3.09215866189	1.52309490603	3.07511578279	[]	[]
1	1	[]	[]	1.77192690711	1.14962753109	1.76832287436	[]	[]
2	0	[]	1.12109294728	1.4393012883	0.96482877063	1.44320436335	1.12351430279	[]
2	1	[]	1.34594548793	1.28844533816	0.308219320019	1.28877294361	1.34739646482	[]
3	0	1.33006621613	1.26901158088	1.32280689348	0.0	1.32537856671	1.27016770446	1.33038733235
3	1	1.34438733027	1.30866978995	1.28935103694	0.327431031785	1.29150115831	1.30902741165	1.34500835862
4	0	[]	1.31148365654	1.25911595298	0.538069028113	1.26007522148	1.31150078576	[]
4	1	[]	1.13434971182	1.77659188536	0.965869982519	1.78767801976	1.13412375147	[]
5	0	[]	[]	1.67249499918	1.06867146643	1.66781156392	[]	[]
5	1	[]	[]	2.46019518493	1.46070998156	2.45383689889	[]	[]
6	0	[]	[]	[]	1.3766910772	[]	[]	[]
6	1	[]	[]	[]	2.09134483597	[]	[]	[]
