b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	2.33766710609	[]	[]	[]	[]
1	1	[]	[]	[]	[]	2.04978226361	[]	[]	[]	[]
2	0	[]	[]	[]	1.94599026382	1.61108683257	1.26074231992	[]	[]	[]
2	1	[]	[]	[]	1.57291726678	1.73295700804	1.30573045504	[]	[]	[]
3	0	[]	[]	1.32134759696	1.39422593377	1.13641899662	1.37733197619	0.890623139049	[]	[]
3	1	[]	[]	1.3406441907	1.76253745355	1.15392191606	1.39292671786	1.15131544681	[]	[]
4	0	[]	2.444711582	1.87635376675	1.78638330828	1.63982134281	1.70324370999	1.73309916814	1.80545194133	[]
4	1	[]	1.96804439898	1.80313668283	1.55788678558	1.56730778541	1.68555639268	1.88127279439	2.4397064974	[]
5	0	[]	[]	1.33648098345	1.25835895674	1.45817384345	1.75143734958	1.60746176402	[]	[]
5	1	[]	[]	0.956905816096	1.28106968216	0.76140268642	1.5478178613	2.18572898133	[]	[]
6	0	[]	[]	[]	0.549824074733	1.24923296911	1.18168963832	[]	[]	[]
6	1	[]	[]	[]	1.12394126959	1.72326180514	2.23647900069	[]	[]	[]
7	0	[]	[]	[]	[]	2.04827331483	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.0361493631	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
