c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.2333051571	[]	[]	[]	[]
2	1	[]	[]	[]	[]	3.02244892549	[]	[]	[]	[]
3	0	[]	[]	[]	0.890623139049	1.73309916814	1.60746176402	[]	[]	[]
3	1	[]	[]	[]	1.15131544681	1.88127279439	2.18572898133	[]	[]	[]
4	0	[]	[]	0.432827572812	-0.75015441119	0.645391208807	1.72683539897	1.72186375132	[]	[]
4	1	[]	[]	-0.224630463864	0.330837895572	0.728553927739	2.44279799934	1.99021869076	[]	[]
5	0	[]	[]	[]	0.914456889711	1.73454984463	1.59593502845	[]	[]	[]
5	1	[]	[]	[]	1.16953250053	1.87692351503	2.17737009187	[]	[]	[]
6	0	[]	[]	[]	[]	2.23232808326	[]	[]	[]	[]
6	1	[]	[]	[]	[]	3.02151407931	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
