a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	-1.31560777852	[]	[]	[]	[]
2	1	[]	[]	[]	[]	-0.748579653306	[]	[]	[]	[]
3	0	[]	[]	[]	0.549824074733	-1.2233844857	0.530860172911	[]	[]	[]
3	1	[]	[]	[]	1.12394126959	0.467892234916	1.1006718829	[]	[]	[]
4	0	[]	[]	2.03093211071	1.24923296911	0.096684768037	1.24097494447	2.03252218591	[]	[]
4	1	[]	[]	2.90367510218	1.72326180514	0.284413694281	1.70995944488	2.90297243911	[]	[]
5	0	[]	[]	[]	1.18168963832	1.68988495241	1.15528009906	[]	[]	[]
5	1	[]	[]	[]	2.23647900069	2.38419535588	2.24393042226	[]	[]	[]
6	0	[]	[]	[]	[]	1.72186375132	[]	[]	[]	[]
6	1	[]	[]	[]	[]	1.99021869076	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
