a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.41025974502	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	-0.210540420998	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.227517145117	-0.430549796343	0.202236060693	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.641115536848	-0.245910687689	0.596982646835	[]	[]	[]	[]
4	0	[]	[]	[]	0.363463798275	1.29437793652	0.712973822324	1.22274930776	0.366498399211	[]	[]	[]
4	1	[]	[]	[]	-0.00571035443416	0.324184135949	1.33504220663	0.304802497167	0.0277703229792	[]	[]	[]
5	0	[]	[]	1.05260740328	0.0405140429907	-0.872689018137	2.35755343395	-0.804099902588	0.0568843811644	1.04836000407	[]	[]
5	1	[]	[]	0.416996559233	0.146503290851	-1.14375838948	4.67283602735	-1.08400612236	0.156379993686	0.416102527088	[]	[]
6	0	[]	[]	[]	-0.321170833735	-0.465751368791	6.59006305794	-0.451366462859	-0.302437057605	[]	[]	[]
6	1	[]	[]	[]	-0.282394619478	-2.75727266813	9.93047402909	-2.64250251216	-0.262473575268	[]	[]	[]
7	0	[]	[]	[]	[]	-1.89051214825	8.91404490167	-1.83858432181	[]	[]	[]	[]
7	1	[]	[]	[]	[]	-2.7583059734	13.2959073533	-2.67216163745	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	17.6765710832	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	16.7294481852	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
