c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	0.0695670013264	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	0.288286342849	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.0963664082309	0.373209253997	1.06051519532	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.546038779783	0.227826137769	1.30506944408	[]	[]	[]	[]
3	0	[]	[]	[]	0.363463798275	-0.188161361426	0.196523422981	-0.362474081219	-1.09438162231	[]	[]	[]
3	1	[]	[]	[]	-0.00571035443416	0.182567593491	-0.0366290995247	-0.327129965438	-0.522392024445	[]	[]	[]
4	0	[]	[]	1.48895610515	1.29437793652	-0.857765831985	-0.293443024722	-1.1910529112	-5.4686569709	-2.69340738252	[]	[]
4	1	[]	[]	0.88614526513	0.324184135949	-1.17620724993	-2.45858236143	-0.786910656752	-2.1649537587	-1.48292721706	[]	[]
5	0	[]	0.983658134788	-0.176183106274	0.712973822324	0.0471621595741	-1.46586691187	-2.64691122444	-3.59620074763	-0.982835127078	-0.547999196147	[]
5	1	[]	-0.348098116841	-0.0234095259044	1.33504220663	0.934642763771	-2.96891573854	-2.24753974952	-1.79465663919	-0.873070383372	0.506994425136	[]
6	0	[]	[]	1.41188646638	1.22274930776	-0.785756856073	-0.261675427655	-1.04162544037	-4.85444819163	-2.34964218067	[]	[]
6	1	[]	[]	0.868062851293	0.304802497167	-1.07572899868	-2.23092346256	-0.658224635407	-1.88079603051	-1.27064814267	[]	[]
7	0	[]	[]	[]	0.366498399211	-0.155887694085	0.231512670929	-0.368175075897	-1.09080033608	[]	[]	[]
7	1	[]	[]	[]	0.0277703229792	0.187178314334	-0.0307310516543	-0.320230292621	-0.528962015557	[]	[]	[]
8	0	[]	[]	[]	[]	0.09924620775	0.373596534831	1.06436837666	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.550331547943	0.227009141803	1.31067159913	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.0690915689586	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	0.287438836653	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
