b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	0.837092087141	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	0.549149397555	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.48895610515	1.10299104891	0.292937026263	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.88614526513	0.593437696149	-0.689878528983	[]	[]	[]	[]
3	0	[]	[]	[]	0.227517145117	1.29437793652	-0.872689018137	-0.465751368791	-1.89051214825	[]	[]	[]
3	1	[]	[]	[]	0.641115536848	0.324184135949	-1.14375838948	-2.75727266813	-2.7583059734	[]	[]	[]
4	0	[]	[]	1.79026339836	1.61186009705	-0.857765831985	-0.76366627156	-1.13980745371	-3.3471867111	-2.90992968787	[]	[]
4	1	[]	[]	0.343942943405	0.208996482028	-1.17620724993	-2.27843085985	-0.703737683794	-1.62609885662	-1.68550487341	[]	[]
5	0	[]	-1.32677985401	-0.0798142561325	-0.713914873861	-0.293443024722	-0.337496684721	-2.12314274309	-0.959897717183	-0.0492836146997	0.601439469161	[]
5	1	[]	0.437321780678	0.173206743255	-1.15851451344	-2.45858236143	-0.442819806165	-0.459568451109	-1.07928875973	0.794686834358	2.06825631618	[]
6	0	[]	[]	-1.26925936085	-1.75013507085	-1.1910529112	-3.30326128494	-1.03613125706	0.192241879087	0.0132130950621	[]	[]
6	1	[]	[]	-5.07379273634	-5.85374484569	-0.786910656752	-1.17891118463	-1.35675980087	0.43269366588	0.47440452845	[]	[]
7	0	[]	[]	[]	-5.70120711794	-5.4686569709	-2.70692030427	0.088288988676	-0.167772970624	[]	[]	[]
7	1	[]	[]	[]	-4.71461947089	-2.1649537587	-2.60818499146	0.176322477694	-1.40355106383	[]	[]	[]
8	0	[]	[]	[]	[]	-2.69340738252	0.204616665649	0.113105130019	[]	[]	[]	[]
8	1	[]	[]	[]	[]	-1.48292721706	0.328042630762	-2.01896753692	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.24188653999	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	-0.608562237531	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
