b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	2.32498634028	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	2.05193048638	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	1.9830389974	1.67278785681	1.31065507282	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	1.66899966334	1.78528716823	1.36181561196	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	1.4083188726	1.50424501054	1.21190245998	1.45606209148	0.963054398084	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.4220941672	1.82252834705	1.24533049227	1.45446476159	1.21770134843	[]	[]	[]	[]
6	0	[]	[]	[]	2.50561633541	1.94798520228	1.8856919944	1.67661856535	1.75259876664	1.7850214498	1.85794716476	[]	[]	[]
6	1	[]	[]	[]	2.00081384032	1.83517420223	1.60161299438	1.61443991765	1.72234082337	1.94454526365	2.48283489924	[]	[]	[]
7	0	[]	[]	[]	[]	1.33360817737	1.23305828708	1.47628833594	1.80833978771	1.64926784884	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.937977823792	1.28038531032	0.732784323903	1.58503689029	2.24096606649	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.492602879852	1.25364533075	1.18100147191	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	1.08453106118	1.74684678971	2.31366057392	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	2.05691016541	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	2.10998279388	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
