c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	1.85503374255	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	1.67494069728	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	2.38503912644	1.83172675824	2.88439156272	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	2.06462456924	2.34987235673	3.57796068181	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.31065507282	1.45606209148	1.75259876664	1.80833978771	1.18100147191	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.36181561196	1.45446476159	1.72234082337	1.58503689029	2.31366057392	[]	[]	[]	[]
4	0	[]	[]	[]	1.93369556923	1.51021627858	1.14723907253	0.464863680385	1.22343683164	1.8477098071	1.9354216391	[]	[]	[]
4	1	[]	[]	[]	1.37547603398	0.0554091019404	1.41780904965	1.46033662684	0.9963147621	2.12585027041	0.457351791654	[]	[]	[]
5	0	[]	[]	1.68094384517	1.92303756579	2.58051542434	2.31364741328	1.52119717708	1.53672337265	1.99755913252	1.79666142283	1.72665081981	[]	[]
5	1	[]	[]	1.6610051005	2.37380304258	3.18613583099	1.91642997987	1.47277526593	1.63240272212	1.91696619086	2.00771162024	2.37463331017	[]	[]
6	0	[]	2.03659799162	1.64896970125	1.53605251241	1.63864776218	1.18936371916	0.437904014277	1.02663700004	1.40890903504	1.89761415332	1.72109076427	1.88378045869	[]
6	1	[]	1.8285525599	1.62300439382	1.73255190229	1.38411707691	0.97729268653	0.963879764155	1.25040698933	1.65932799631	1.77011173329	2.1391027327	1.96734353056	[]
7	0	[]	[]	1.72001327547	1.86032438007	2.41195735101	2.17470227988	1.45567684425	1.58781873877	2.01775115215	1.79047667439	1.70439321818	[]	[]
7	1	[]	[]	1.64239106203	2.23536519076	2.92876036292	1.80469705842	1.44689762204	1.66639029377	1.93550343914	1.99040031633	2.30770289086	[]	[]
8	0	[]	[]	[]	1.93197520058	1.52059805609	1.18061977023	0.539844312118	1.27153222231	1.8460592611	1.94436842208	[]	[]	[]
8	1	[]	[]	[]	1.39592907672	0.134831528006	1.43825609117	1.47277933802	1.06660420785	2.13871084802	0.600192660878	[]	[]	[]
9	0	[]	[]	[]	[]	1.31134497564	1.4600288501	1.75253960437	1.8069469686	1.18102611422	[]	[]	[]	[]
9	1	[]	[]	[]	[]	1.36315512494	1.45511364515	1.72023678447	1.58407699271	2.3158601738	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	2.38543964093	1.83101989016	2.88536211091	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	2.06463629152	2.34956950832	3.57986515033	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	1.85421162154	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	1.67444975866	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
